id,name,year,classification,runtime,genres,budget,opening_weekend,gross_na,gross_g,release_date,gross_tw,gross_cn,gross_hk,gross_my,gross_sg,gross_xndom,release_date_USA,Genre,Director,Writer,Actors,Language,Awards,Country,Production,imdbVotes,IMDBscore,TomatoesScore,Metascore
tt3501632,Thor: Ragnarok,(2017),PG-13,130min,"Action,Adventure,Comedy","$180,000,000","$122,744,989","$315,058,289","$853,977,126",Release Date: 24 October 2017 (Taiwan),"10,411,887","112,226,154","7,003,816","8,037,405","5,950,587","538,918,837",03 Nov 2017,"Action, Adventure, Comedy, Fantasy, Sci-Fi",Taika Waititi,"Eric Pearson, Craig Kyle, Christopher L. Yost, Stan Lee (based on the Marvel comics by), Larry Lieber (based on the Marvel comics by), Jack Kirby (based on the Marvel comics by)","Chris Hemsworth, Tom Hiddleston, Cate Blanchett, Idris Elba",English,5 wins & 30 nominations.,USA,Walt Disney Pictures,"470,059",0.79,0.93,0.74
tt1396484,It,(I),R,135min,"Horror,Thriller","$35,000,000","$123,403,419","$327,481,748","$700,381,748",Release Date: 8 September 2017 (Taiwan),"3,900,000",0,"1,700,000",0,0,"372,900,000",08 Sep 2017,"Horror, Thriller",Andy Muschietti,"Chase Palmer (screenplay by), Cary Joji Fukunaga (screenplay by), Gary Dauberman (screenplay by), Stephen King (based on the novel by)","Jaeden Martell, Jeremy Ray Taylor, Sophia Lillis, Finn Wolfhard",English,4 wins & 30 nominations.,"USA, Canada",Warner Bros. Pictures,"353,793",0.74,0.85,0.69
tt1987680,The Upside,(2017),PG-13,126min,"Comedy,Drama","$37,500,000","$20,355,000","$108,252,517","$122,152,517",Release Date: 11 January 2019 (USA),0,0,"600,149",0,0,"13,900,000",11 Jan 2019,"Comedy, Drama",Neil Burger,"Jon Hartmere (screenplay by), Éric Toledano (based on the motion picture ""Les Intouchables"" by), Olivier Nakache (based on the motion picture ""Les Intouchables"" by)","Kevin Hart, Bryan Cranston, Nicole Kidman, Aja Naomi King",English,2 wins.,USA,N/A,"20,335",0.66,,0.46
tt1485796,The Greatest Showman,(2017),PG,105min,"Biography,Drama,Musical","$84,000,000","$8,805,843","$174,340,174","$434,993,183",Release Date: 20 December 2017 (Taiwan),"3,052,980","15,929,849","3,076,748","1,724,867","2,600,980","260,653,009",20 Dec 2017,"Biography, Drama, Musical",Michael Gracey,"Jenny Bicks (screenplay by), Bill Condon (screenplay by), Jenny Bicks (story by)","Hugh Jackman, Michelle Williams, Zac Efron, Zendaya",English,Nominated for 1 Oscar. Another 7 wins & 19 nominations.,USA,20th Century Fox,"197,955",0.76,0.56,0.48
tt1856101,Blade Runner 2049,(2017),R,164min,"Drama,Mystery,Sci-Fi","$150,000,000","$32,753,122","$92,054,159","$260,512,487",Release Date: 6 October 2017 (Taiwan),"1,807,882","11,651,565","1,351,370","888,472","1,022,234","168,458,328",06 Oct 2017,"Drama, Mystery, Sci-Fi, Thriller",Denis Villeneuve,"Hampton Fancher (screenplay by), Michael Green (screenplay by), Hampton Fancher (story by), Philip K. Dick (based on characters from the novel ""Do Androids Dream of Electric Sheep?"" by)","Ryan Gosling, Dave Bautista, Robin Wright, Mark Arnold","English, Finnish, Japanese, Hungarian, Russian, Somali, Spanish",Won 2 Oscars. Another 81 wins & 131 nominations.,"USA, UK, Hungary, Canada, Spain",Warner Bros. Pictures,"373,412",0.8,0.87,0.81
tt0974015,Justice League,(2017),PG-13,120min,"Action,Adventure,Fantasy","$300,000,000","$93,842,239","$229,024,295","$657,924,295",Release Date: 16 November 2017 (Taiwan),"8,100,000","106,052,345","5,900,000",0,0,"428,900,000",17 Nov 2017,"Action, Adventure, Fantasy, Sci-Fi",Zack Snyder,"Jerry Siegel (Superman created by), Joe Shuster (Superman created by), Chris Terrio (story by), Zack Snyder (story by), Chris Terrio (screenplay by), Joss Whedon (screenplay by), Gardner Fox (Justice League of America created by), Bob Kane (Batman created by), Bill Finger (Batman created by), William Moulton Marston (Wonder Woman created by), Jack Kirby (Fourth World created by)","Ben Affleck, Henry Cavill, Amy Adams, Gal Gadot","English, Irish, Russian, Icelandic",1 win & 6 nominations.,"USA, Canada, UK",Warner Bros. Pictures,"324,841",0.65,0.4,0.45
tt2527336,Star Wars: The Last Jedi,(2017),PG-13,152min,"Action,Adventure,Fantasy","$317,000,000","$220,009,584","$620,181,382","$1,332,539,889",Release Date: 13 December 2017 (Taiwan),"3,534,284","42,577,974","6,032,694","3,724,376","4,634,747","712,358,507",15 Dec 2017,"Action, Adventure, Fantasy, Sci-Fi",Rian Johnson,"Rian Johnson, George Lucas (based on characters created by)","Mark Hamill, Carrie Fisher, Adam Driver, Daisy Ridley",English,Nominated for 4 Oscars. Another 12 wins & 71 nominations.,USA,Walt Disney Pictures,"460,760",0.72,0.91,0.85
tt2283362,Jumanji: Welcome to the Jungle,(2017),PG-13,119min,"Action,Adventure,Comedy","$90,000,000","$36,169,328","$404,540,171","$962,102,237",Release Date: 27 December 2017 (Taiwan),"6,811,954","77,946,567","4,548,868","14,114,992","5,188,464","557,562,066",20 Dec 2017,"Action, Adventure, Comedy, Fantasy",Jake Kasdan,"Chris McKenna (screenplay by), Erik Sommers (screenplay by), Scott Rosenberg (screenplay by), Jeff Pinkner (screenplay by), Chris McKenna (screen story by), Chris Van Allsburg (based on the book ""Jumanji"" by), Greg Taylor (based on the film ""Jumanji"" screen story by), Jim Strain (based on the film ""Jumanji"" screen story by), Chris Van Allsburg (based on the film ""Jumanji"" screen story by), Jonathan Hensleigh (based on the film ""Jumanji"" screenplay by), Greg Taylor (based on the film ""Jumanji"" screenplay by), Jim Strain (based on the film ""Jumanji"" screenplay by)","Dwayne Johnson, Kevin Hart, Jack Black, Karen Gillan",English,2 wins & 3 nominations.,USA,Columbia Pictures,"240,479",0.7,0.76,0.58
tt5013056,Dunkirk,(2017),PG-13,106min,"Action,Drama,History","$100,000,000","$50,513,488","$189,740,665","$526,940,665",Release Date: 21 July 2017 (Taiwan),"3,700,000","50,970,494","3,400,000",0,0,"337,200,000",21 Jul 2017,"Action, Drama, History, Thriller, War",Christopher Nolan,Christopher Nolan,"Fionn Whitehead, Damien Bonnard, Aneurin Barnard, Lee Armstrong","English, French, German",Won 3 Oscars. Another 51 wins & 197 nominations.,"UK, Netherlands, France, USA",Warner Bros. Pictures,"464,601",0.79,0.92,0.94
tt5027774,"Three Billboards Outside Ebbing, Missouri",(2017),R,115min,"Crime,Drama","$15,000,000","$322,168","$54,513,740","$159,210,164",Release Date: 9 February 2018 (Taiwan),"438,436","10,259,207","716,946","25,097","149,437","104,696,424",01 Dec 2017,"Crime, Drama",Martin McDonagh,Martin McDonagh,"Frances McDormand, Caleb Landry Jones, Kerry Condon, Sam Rockwell",English,Won 2 Oscars. Another 104 wins & 193 nominations.,"UK, USA",Fox Searchlight Pictures,"341,305",0.82,0.9,0.88
