id,name,year,classification,runtime,genres,budget,opening_weekend,gross_na,gross_g,release_date,gross_tw,gross_cn,gross_hk,gross_my,gross_sg,gross_xndom,release_date_USA,Genre,Director,Writer,Actors,Language,Awards,Country,Production,imdbVotes,IMDBscore,TomatoesScore,Metascore
tt1979320,Rush,(I),R,123min,"Action,Biography,Drama","$38,000,000","$187,289","$26,947,624","$92,006,038",Release Date: 18 September 2013 (Taiwan),0,"1,758,414","364,026",0,"490,814","65,058,414",27 Sep 2013,"Action, Biography, Drama, Sport",Ron Howard,Peter Morgan,"Chris Hemsworth, Daniel Brühl, Olivia Wilde, Alexandra Maria Lara","English, German, Italian, French, Spanish",Nominated for 2 Golden Globes. Another 6 wins & 63 nominations.,"UK, Germany, USA",Universal Pictures,"391,348",0.81,0.89,0.75
tt1706620,Snowpiercer,(2013),R,126min,"Action,Drama,Sci-Fi","$39,200,000","$171,187","$4,563,650","$86,758,912",Release Date: 6 December 2013 (Taiwan),0,"11,100,000","260,479","78,987",0,"82,195,262",11 Jul 2014,"Action, Drama, Sci-Fi",Joon-ho Bong,"Joon-ho Bong (screenplay), Kelly Masterson (screenplay), Joon-ho Bong (screen story), Jacques Lob (based on Le Transperceneige by), Benjamin Legrand (based on Le Transperceneige by), Jean-Marc Rochette (based on Le Transperceneige by)","Chris Evans, Kang-ho Song, Ed Harris, John Hurt","English, Korean, French, Japanese, Czech, German",33 wins & 103 nominations.,"South Korea, Czech Republic",Radius-TWC,"234,336",0.71,0.95,0.84
tt0993846,The Wolf of Wall Street,(2013),R,180min,"Biography,Crime,Drama","$100,000,000","$18,361,578","$116,900,694","$392,000,694",Release Date: 14 February 2014 (Taiwan),"4,057,365",0,"4,006,916",0,"1,270,281","275,100,000",25 Dec 2013,"Biography, Crime, Drama",Martin Scorsese,"Terence Winter (screenplay), Jordan Belfort (book)","Leonardo DiCaprio, Jonah Hill, Margot Robbie, Matthew McConaughey","English, French",Nominated for 5 Oscars. Another 38 wins & 165 nominations.,USA,Paramount Studios,"1,028,802",0.82,0.78,0.75
tt1300854,Iron Man 3,(2013),PG-13,130min,"Action,Adventure,Sci-Fi","$200,000,000","$174,144,585","$409,013,994","$1,214,811,252",Release Date: 24 April 2013 (Taiwan),0,"121,200,000","13,705,128","13,909,003","10,210,551","805,797,258",03 May 2013,"Action, Adventure, Sci-Fi",Shane Black,"Drew Pearce (screenplay by), Shane Black (screenplay by), Stan Lee (based on the Marvel comic book by), Don Heck (based on the Marvel comic book by), Larry Lieber (based on the Marvel comic book by), Jack Kirby (based on the Marvel comic book by), Warren Ellis (based on the ""Extremis"" mini-series written by), Adi Granov (based on the ""Extremis"" mini-series illustrated by)","Robert Downey Jr., Gwyneth Paltrow, Don Cheadle, Guy Pearce",English,Nominated for 1 Oscar. Another 17 wins & 61 nominations.,USA,Walt Disney Pictures,"687,797",0.72,0.79,0.62
tt1343092,The Great Gatsby,(2013),PG-13,143min,"Drama,Romance","$105,000,000","$50,085,185","$144,840,419","$353,641,895",Release Date: 17 May 2013 (Taiwan),0,"13,340,000","1,363,222","343,301","1,141,636","208,801,476",10 May 2013,"Drama, Romance",Baz Luhrmann,"Baz Luhrmann (screenplay), Craig Pearce (screenplay), F. Scott Fitzgerald (based on the novel by)","Lisa Adam, Frank Aldridge, Amitabh Bachchan, Steve Bisley",English,Won 2 Oscars. Another 47 wins & 83 nominations.,"Australia, USA",Warner Bros. Pictures,"429,597",0.73,0.48,0.55
tt1981115,Thor: The Dark World,(2013),PG-13,112min,"Action,Adventure,Fantasy","$170,000,000","$85,737,841","$206,362,140","$644,571,402",Release Date: 31 October 2013 (Taiwan),0,"55,340,000","4,730,882","8,819,558","6,300,035","438,209,262",08 Nov 2013,"Action, Adventure, Fantasy",Alan Taylor,"Christopher L. Yost (screenplay by), Christopher Markus (screenplay by), Stephen McFeely (screenplay by), Don Payne (story by), Robert Rodat (story by), Stan Lee (based on the Marvel comics by), Larry Lieber (based on the Marvel comics by), Jack Kirby (based on the Marvel comics by), Walter Simonson (character created by: Malekith)","Chris Hemsworth, Natalie Portman, Tom Hiddleston, Anthony Hopkins",English,3 wins & 21 nominations.,USA,Walt Disney Pictures,"533,625",0.69,0.66,0.54
tt2194499,About Time,(I),R,123min,"Comedy,Drama,Fantasy","$12,000,000","$1,076,250","$15,322,921","$87,100,449",Release Date: 18 September 2013 (Taiwan),0,0,"907,079","204,102","868,240","71,777,528",08 Nov 2013,"Comedy, Drama, Fantasy, Romance, Sci-Fi",Richard Curtis,Richard Curtis,"Domhnall Gleeson, Rachel McAdams, Bill Nighy, Lydia Wilson",English,3 wins & 10 nominations.,UK,Universal Pictures,"259,185",0.78,0.69,0.55
tt2278871,Blue Is the Warmest Color,(2013),NC-17,180min,"Drama,Romance","€4,000,000","$100,316","$2,199,787","$7,379,806",Release Date: 14 February 2014 (Taiwan),0,0,"200,230",0,"44,517","5,180,019",09 Oct 2013,"Drama, Romance",Abdellatif Kechiche,"Abdellatif Kechiche (scenario,  adaptation and dialogue), Ghalia Lacroix (scenario,  adaptation and dialogue), Julie Maroh (adapted from: the comic book ""Le Bleu est une couleur chaude"" by)","Léa Seydoux, Adèle Exarchopoulos, Salim Kechiouche, Aurélien Recoing","French, English",Nominated for 1 Golden Globe. Another 84 wins & 94 nominations.,"France, Belgium, Spain",IFC Films,"123,625",0.78,0.89,0.88
tt2302755,Olympus Has Fallen,(2013),R,119min,"Action,Thriller","$70,000,000","$30,373,794","$98,925,640","$170,270,201",Release Date: 22 March 2013 (Taiwan),0,"5,820,000","1,228,630","1,703,776","1,119,028","71,344,561",22 Mar 2013,"Action, Thriller",Antoine Fuqua,"Creighton Rothenberger, Katrin Benedikt","Gerard Butler, Aaron Eckhart, Finley Jacobsen, Dylan McDermott","English, Korean",1 win & 5 nominations.,USA,FilmDistrict,"235,025",0.65,0.49,0.41
tt1333125,Movie 43,(2013),R,94min,Comedy,"$6,000,000","$4,805,878","$8,840,453","$32,443,111",Release Date: 28 June 2013 (Taiwan),0,0,"351,775",0,"41,515","23,602,658",25 Jan 2013,"Comedy, Horror, Thriller","Elizabeth Banks, Steven Brill, Steve Carr, Rusty Cundieff, James Duffy, Griffin Dunne, Peter Farrelly, Patrik Forsberg, Will Graham, James Gunn, Brett Ratner, Jonathan van Tulleken, Bob Odenkirk","Rocky Russo, Jeremy Sosenko, Ricky Blitt, Rocky Russo (screenplay), Jeremy Sosenko (screenplay), Bill O'Malley (story), Will Graham, Jack Kukoda, Rocky Russo, Jeremy Sosenko, Matt Portenoy, Rocky Russo (screenplay), Jeremy Sosenko (screenplay), Claes Kjellstrom (story), Jonas Wittenmark (story), Tobias Carlson (story), Will Carlough, Jonathan van Tulleken, Elizabeth Shapiro, Patrik Forsberg, Olle Sarri, Jacob Fleisher, Greg Pritikin, Rocky Russo, Jeremy Sosenko, James Gunn","Dennis Quaid, Greg Kinnear, Common, Charlie Saxton",English,4 wins & 5 nominations.,USA,Relativity Media,"92,291",0.43,0.05,0.18
tt1392214,Prisoners,(2013),R,153min,"Crime,Drama,Mystery","$46,000,000","$20,817,053","$61,002,302","$122,126,687",Release Date: 4 October 2013 (Taiwan),0,0,"448,697","398,491","725,670","61,124,385",20 Sep 2013,"Crime, Drama, Mystery, Thriller",Denis Villeneuve,Aaron Guzikowski,"Hugh Jackman, Jake Gyllenhaal, Viola Davis, Maria Bello",English,Nominated for 1 Oscar. Another 10 wins & 35 nominations.,USA,Warner Bros.,"522,331",0.81,0.8,0.74
tt1798709,Her,(2013),R,126min,"Drama,Romance,Sci-Fi","$23,000,000","$260,382","$25,568,251","$47,351,251",Release Date: 17 January 2014 (Taiwan),0,0,"295,909","49,254","186,468","21,783,000",10 Jan 2014,"Drama, Romance, Sci-Fi",Spike Jonze,Spike Jonze,"Joaquin Phoenix, Lynn Adrianna, Lisa Renee Pitts, Gabe Gomez",English,Won 1 Oscar. Another 82 wins & 181 nominations.,USA,Warner Bros. Pictures,"465,955",0.8,0.94,0.9
tt1457767,The Conjuring,(2013),R,112min,"Horror,Mystery,Thriller","$20,000,000","$41,855,326","$137,400,141","$319,494,638",Release Date: 2 August 2013 (Taiwan),0,0,"993,194","3,736,613","2,164,452","182,094,497",19 Jul 2013,"Horror, Mystery, Thriller",James Wan,"Chad Hayes, Carey W. Hayes","Vera Farmiga, Patrick Wilson, Lili Taylor, Ron Livingston","English, Latin",15 wins & 22 nominations.,USA,Warner Bros. Pictures,"394,918",0.75,0.85,0.68
tt1483013,Oblivion,(I),PG-13,124min,"Action,Adventure,Sci-Fi","$120,000,000","$37,054,485","$89,107,235","$286,168,572",Release Date: 11 April 2013 (Taiwan),0,"23,860,000","1,992,207","3,050,774","2,268,916","197,061,337",19 Apr 2013,"Action, Adventure, Sci-Fi",Joseph Kosinski,"Karl Gajdusek (screenplay), Michael Arndt (screenplay), Joseph Kosinski (graphic novel original story)","Tom Cruise, Morgan Freeman, Olga Kurylenko, Andrea Riseborough",English,14 nominations.,USA,Universal Pictures,"452,990",0.7,0.52,0.54
tt1937390,Nymphomaniac: Vol. I,(2013),NotRated,117min,Drama,,"$158,369","$785,896","$10,334,503",Release Date: 7 March 2014 (Taiwan),0,0,"108,335",0,0,"9,548,607",06 Mar 2014,Drama,Lars von Trier,Lars von Trier,"Charlotte Gainsbourg, Stellan Skarsgård, Stacy Martin, Shia LaBeouf",English,14 wins & 28 nominations.,"Denmark, Germany, Belgium, UK, France",Magnolia Pictures,"106,114",0.69,0.75,0.64
tt0770828,Man of Steel,(2013),PG-13,143min,"Action,Adventure,Sci-Fi","$225,000,000","$116,619,362","$291,045,518","$668,045,518",Release Date: 12 June 2013 (Taiwan),0,"63,440,000","4,296,428","6,351,839","5,020,889","377,000,000",14 Jun 2013,"Action, Adventure, Sci-Fi",Zack Snyder,"David S. Goyer (screenplay), David S. Goyer (story), Christopher Nolan (story), Jerry Siegel (Superman created by), Joe Shuster (Superman created by)","Henry Cavill, Amy Adams, Michael Shannon, Diane Lane",English,7 wins & 46 nominations.,"USA, UK",Warner Bros. Pictures,"646,109",0.71,0.56,0.55
tt2403021,The Green Inferno,(2013),R,100min,"Adventure,Horror","$5,000,000","$3,520,626","$7,192,291","$12,666,449",Release Date: 16 October 2015 (Taiwan),"300,613",0,"107,965","139,084","40,005","5,474,158",25 Sep 2015,"Adventure, Horror",Eli Roth,"Guillermo Amoedo (screenplay), Eli Roth (screenplay)","Lorenza Izzo, Ariel Levy, Daryl Sabara, Kirby Bliss Blanton","English, Spanish",1 win & 6 nominations.,"USA, Chile, Canada, Spain",High Top Releasing,"33,056",0.53,0.37,0.38
tt2294629,Frozen,(I),PG,102min,"Animation,Adventure,Comedy","$150,000,000","$243,390","$400,738,009","$1,276,480,335",Release Date: 27 December 2013 (Taiwan),0,"48,240,000","2,579,735","3,618,668","3,841,382","875,742,326",27 Nov 2013,"Animation, Adventure, Comedy, Family, Fantasy, Musical","Chris Buck, Jennifer Lee","Jennifer Lee (screenplay by), Hans Christian Andersen (story inspired by ""The Snow Queen"" by), Chris Buck (story by), Jennifer Lee (story by), Shane Morris (story by)","Kristen Bell, Idina Menzel, Jonathan Groff, Josh Gad","English, Norwegian",Won 2 Oscars. Another 77 wins & 57 nominations.,USA,Walt Disney Pictures,"515,218",0.75,0.9,0.74
