id,name,year,classification,runtime,genres,budget,opening_weekend,gross_na,gross_g,release_date,gross_tw,gross_cn,gross_hk,gross_my,gross_sg,gross_xndom,release_date_USA,Genre,Director,Writer,Actors,Language,Awards,Country,Production,imdbVotes,IMDBscore,TomatoesScore,Metascore
tt1340138,Terminator Genisys,(2015),PG-13,126min,"Action,Adventure,Sci-Fi","$155,000,000","$27,018,486","$89,760,956","$440,603,537",Release Date: 3 July 2015 (Taiwan),"4,491,698","113,250,000","4,156,531","4,856,522","3,038,135","350,842,581",01 Jul 2015,"Action, Adventure, Sci-Fi",Alan Taylor,"Laeta Kalogridis, Patrick Lussier, James Cameron (based on characters created by), Gale Anne Hurd (based on characters created by)","Arnold Schwarzenegger, Jason Clarke, Emilia Clarke, Jai Courtney",English,8 nominations.,USA,Paramount Pictures,"233,444",0.64,0.26,0.38
tt2395427,Avengers: Age of Ultron,(2015),PG-13,141min,"Action,Adventure,Sci-Fi","$250,000,000","$191,271,109","$459,005,868","$1,405,403,694",Release Date: 22 April 2015 (Taiwan),"18,417,745","240,110,000","17,155,906","13,390,227","9,904,467","946,397,826",01 May 2015,"Action, Adventure, Sci-Fi",Joss Whedon,"Joss Whedon, Stan Lee (based on the Marvel comics by), Jack Kirby (based on the Marvel comics by), Joe Simon (character created by: Captain America), Jack Kirby (character created by: Captain America), Jim Starlin (character created by: Thanos)","Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans","English, Korean",7 wins & 45 nominations.,USA,Walt Disney Pictures,"654,822",0.73,0.75,0.66
tt3774694,Love,(II),NotRated,135min,"Drama,Romance","$3,000,000","$29,301","$249,083","$861,057",Release Date: 15 July 2015 (France),0,0,0,0,0,"611,974",30 Oct 2015,"Drama, Romance",Gaspar Noé,Gaspar Noé,"Aomi Muyock, Karl Glusman, Klara Kristin, Ugo Fox","English, French",2 wins & 1 nomination.,"France, Belgium",Alchemy,"36,417",0.6,0.39,0.51
tt1392190,Mad Max: Fury Road,(2015),R,120min,"Action,Adventure,Sci-Fi","$150,000,000","$45,428,128","$154,058,340","$378,909,362",Release Date: 15 May 2015 (Taiwan),"2,705,682",0,"1,082,042","1,909,492","1,245,593","224,851,022",15 May 2015,"Action, Adventure, Sci-Fi, Thriller",George Miller,"George Miller, Brendan McCarthy, Nick Lathouris","Tom Hardy, Charlize Theron, Nicholas Hoult, Hugh Keays-Byrne","English, Russian",Won 6 Oscars. Another 232 wins & 219 nominations.,"Australia, USA",Warner Bros.,"774,301",0.81,0.97,0.9
tt3605418,Knock Knock,(I),R,99min,"Drama,Thriller","$2,500,000","$18,623","$36,336","$5,567,103",Release Date: 24 September 2015 (Chile),0,0,"107,545","192,901","47,505","5,530,767",09 Oct 2015,"Drama, Thriller",Eli Roth,"Eli Roth (screenplay), Nicolás López (screenplay), Guillermo Amoedo (screenplay), Anthony Overman (story), Michael Ronald Ross (story)","Keanu Reeves, Lorenza Izzo, Ana de Armas, Aaron Burns","English, Spanish",N/A,"USA, Chile",Lionsgate Premiere,"67,603",0.49,0.37,0.53
tt2322441,Fifty Shades of Grey,(2015),R,125min,"Drama,Romance,Thriller","$40,000,000","$85,171,450","$166,167,230","$571,006,128",Release Date: 13 February 2015 (Taiwan),"3,930,191",0,"1,590,469",0,"1,837,395","404,838,898",13 Feb 2015,"Drama, Romance, Thriller",Sam Taylor-Johnson,"Kelly Marcel (screenplay by), E.L. James (based on the novel by)","Dakota Johnson, Jamie Dornan, Jennifer Ehle, Eloise Mumford",English,Nominated for 1 Oscar. Another 9 wins & 26 nominations.,USA,Focus Features,"278,667",0.41,0.25,0.46
tt0478970,Ant-Man,(2015),PG-13,117min,"Action,Adventure,Comedy","$130,000,000","$57,225,526","$180,202,163","$519,311,965",Release Date: 16 July 2015 (Taiwan),"11,100,000","105,370,038","6,992,049","6,747,317","4,514,252","339,109,802",17 Jul 2015,"Action, Adventure, Comedy, Sci-Fi",Peyton Reed,"Edgar Wright (screenplay by), Joe Cornish (screenplay by), Adam McKay (screenplay by), Paul Rudd (screenplay by), Edgar Wright (story by), Joe Cornish (story by), Stan Lee (based on the Marvel comics by), Larry Lieber (based on the Marvel comics by), Jack Kirby (based on the Marvel comics by)","Paul Rudd, Michael Douglas, Evangeline Lilly, Corey Stoll",English,Nominated for 1 BAFTA Film Award. Another 3 wins & 32 nominations.,USA,Disney/Marvel,"492,948",0.73,0.82,0.64
tt4263482,The Witch,(2015),R,92min,"Horror,Mystery","$4,000,000","$8,800,230","$25,138,705","$40,423,945",Release Date: 19 February 2016 (Canada),0,0,0,0,0,"15,285,240",19 Feb 2016,"Horror, Mystery",Robert Eggers,Robert Eggers,"Anya Taylor-Joy, Ralph Ineson, Kate Dickie, Harvey Scrimshaw",English,41 wins & 64 nominations.,"UK, Canada, USA",A24 Films,"152,421",0.68,0.9,0.83
tt1661199,Cinderella,(I),PG,105min,"Drama,Family,Fantasy","$95,000,000","$67,877,361","$201,151,353","$543,514,353",Release Date: 13 March 2015 (Taiwan),"1,704,196","71,570,000","2,487,624","4,526,298","6,045,781","342,363,000",13 Mar 2015,"Drama, Family, Fantasy, Romance",Kenneth Branagh,"Chris Weitz (screenplay by), Charles Perrault (story)","Cate Blanchett, Lily James, Richard Madden, Helena Bonham Carter",English,Nominated for 1 Oscar. Another 8 wins & 35 nominations.,"USA, UK",Walt Disney Pictures,"141,304",0.69,0.84,0.67
tt0369610,Jurassic World,(2015),PG-13,124min,"Action,Adventure,Sci-Fi","$150,000,000","$208,806,270","$652,270,625","$1,671,713,208",Release Date: 10 June 2015 (Taiwan),"26,732,760","228,740,000","13,142,261","11,517,722","8,766,526","1,019,442,583",12 Jun 2015,"Action, Adventure, Sci-Fi",Colin Trevorrow,"Rick Jaffa (screenplay by), Amanda Silver (screenplay by), Colin Trevorrow (screenplay by), Derek Connolly (screenplay by), Rick Jaffa (story by), Amanda Silver (story by), Michael Crichton (based on the characters created by)","Chris Pratt, Bryce Dallas Howard, Irrfan Khan, Vincent D'Onofrio",English,14 wins & 57 nominations.,USA,Universal Pictures,"536,950",0.7,0.72,0.59
