id,name,year,classification,runtime,genres,budget,opening_weekend,gross_na,gross_g,release_date,gross_tw,gross_cn,gross_hk,gross_my,gross_sg,gross_xndom,release_date_USA,Genre,Director,Writer,Actors,Language,Awards,Country,Production,imdbVotes,IMDBscore,TomatoesScore,Metascore
tt2911666,John Wick,(2014),R,101min,"Action,Crime,Thriller","$20,000,000","$14,415,922","$43,037,835","$88,761,661",Release Date: 31 October 2014 (Taiwan),"2,632,338",0,"596,152","588,728","484,870","45,723,826",24 Oct 2014,"Action, Crime, Thriller","Chad Stahelski, David Leitch",Derek Kolstad,"Keanu Reeves, Michael Nyqvist, Alfie Allen, Willem Dafoe","English, Russian, Hungarian",5 wins & 8 nominations.,"China, USA",LionsGate Entertainment,"427,623",0.73,0.87,0.68
tt2015381,Guardians of the Galaxy,(2014),PG-13,121min,"Action,Adventure,Comedy","$170,000,000","$94,320,883","$333,176,600","$773,328,629",Release Date: 31 July 2014 (Taiwan),0,"86,346,366","3,325,123","5,803,492","4,729,358","440,152,029",01 Aug 2014,"Action, Adventure, Comedy, Sci-Fi",James Gunn,"James Gunn, Nicole Perlman, Dan Abnett (based on the Marvel comics by), Andy Lanning (based on the Marvel comics by), Bill Mantlo (character created by: Rocket Raccoon), Keith Giffen (character created by: Rocket Raccoon), Jim Starlin (characters created by: Drax the Destroyer,  Gamora & Thanos), Steve Englehart (character created by: Star-Lord), Steve Gan (character created by: Star-Lord), Steve Gerber (character created by: Howard the Duck), Val Mayerik (character created by: Howard the Duck)","Chris Pratt, Zoe Saldana, Dave Bautista, Vin Diesel",English,Nominated for 2 Oscars. Another 52 wins & 99 nominations.,USA,Walt Disney Pictures,"936,430",0.81,0.91,0.76
tt0831387,Godzilla,(2014),PG-13,123min,"Action,Adventure,Sci-Fi","$160,000,000","$93,188,384","$200,676,069","$529,076,069",Release Date: 16 May 2014 (Taiwan),0,"77,630,000","2,797,928","6,077,147","3,371,618","328,400,000",16 May 2014,"Action, Adventure, Sci-Fi, Thriller",Gareth Edwards,"Max Borenstein (screenplay), Dave Callaham (story), Ishirô Honda (based on the character created by), Takeo Murata (based on the character created by), Shigeru Kayama (based on the character created by)","Aaron Taylor-Johnson, CJ Adams, Ken Watanabe, Bryan Cranston","English, Japanese",6 wins & 31 nominations.,"USA, Japan",Warner Bros Pictures,"346,404",0.64,0.75,0.62
tt0816692,Interstellar,(2014),PG-13,169min,"Adventure,Drama,Sci-Fi","$165,000,000","$47,510,360","$188,020,017","$677,471,339",Release Date: 7 November 2014 (Taiwan),"8,579,533","121,990,000","6,676,404","2,560,376","3,676,772","489,451,322",07 Nov 2014,"Adventure, Drama, Sci-Fi",Christopher Nolan,"Jonathan Nolan, Christopher Nolan","Ellen Burstyn, Matthew McConaughey, Mackenzie Foy, John Lithgow",English,Won 1 Oscar. Another 43 wins & 143 nominations.,"USA, UK, Canada",Paramount Pictures,"1,288,392",0.86,0.72,0.74
tt1843866,Captain America: The Winter Soldier,(2014),PG-13,136min,"Action,Adventure,Sci-Fi","$170,000,000","$95,023,721","$259,766,572","$714,264,267",Release Date: 27 March 2014 (Taiwan),0,"115,620,000","7,292,579","8,404,017","6,012,468","454,497,695",04 Apr 2014,"Action, Adventure, Sci-Fi, Thriller","Anthony Russo, Joe Russo","Christopher Markus (screenplay by), Stephen McFeely (screenplay by), Joe Simon (based on the Marvel comics by), Jack Kirby (based on the Marvel comics by)","Chris Evans, Samuel L. Jackson, Scarlett Johansson, Robert Redford","English, French",Nominated for 1 Oscar. Another 5 wins & 50 nominations.,USA,Walt Disney Pictures,"655,267",0.78,0.9,0.7
tt3416742,What We Do in the Shadows,(2014),R,86min,"Comedy,Horror","$1,600,000","$88,940","$3,469,224","$6,263,224",Release Date: 19 June 2014 (New Zealand),"42,472",0,"81,076",0,0,"2,794,000",13 Feb 2015,"Comedy, Horror","Jemaine Clement, Taika Waititi","Jemaine Clement, Taika Waititi","Jemaine Clement, Taika Waititi, Jonny Brugh, Cori Gonzalez-Macuer","English, German, Spanish",25 wins & 18 nominations.,"New Zealand, USA",Paladin Pictures,"124,726",0.77,0.96,0.76
tt1877832,X-Men: Days of Future Past,(2014),PG-13,132min,"Action,Adventure,Sci-Fi","$200,000,000","$90,823,660","$233,921,534","$747,862,775",Release Date: 21 May 2014 (Taiwan),0,"116,490,000","6,547,122","6,651,878","7,436,466","513,941,241",23 May 2014,"Action, Adventure, Sci-Fi, Thriller",Bryan Singer,"Simon Kinberg (screenplay by), Jane Goldman (story by), Simon Kinberg (story by), Matthew Vaughn (story by)","Hugh Jackman, James McAvoy, Michael Fassbender, Jennifer Lawrence","English, Vietnamese, French",Nominated for 1 Oscar. Another 15 wins & 47 nominations.,"USA, UK, Canada",20th Century Fox,"615,786",0.8,0.9,0.75
tt2802144,Kingsman: The Secret Service,(2014),R,129min,"Action,Adventure,Comedy","$81,000,000","$36,206,331","$128,261,724","$414,351,546",Release Date: 18 February 2015 (Taiwan),"10,188,432","74,667,000","4,226,072","5,182,107","3,336,287","286,089,822",13 Feb 2015,"Action, Adventure, Comedy, Thriller",Matthew Vaughn,"Jane Goldman (screenplay by), Matthew Vaughn (screenplay by), Mark Millar (based on the comic book ""The Secret Service"" by), Dave Gibbons (based on the comic book ""The Secret Service"" by)","Adrian Quinton, Colin Firth, Mark Strong, Jonno Davies","English, Arabic, Swedish",8 wins & 26 nominations.,"UK, USA",20th Century Fox,"539,995",0.77,0.74,0.6
tt2267998,Gone Girl,(2014),R,149min,"Drama,Mystery,Thriller","$61,000,000","$37,513,109","$167,767,189","$369,330,363",Release Date: 9 October 2014 (Taiwan),"5,516,039",0,"2,930,471","303,336","1,389,783","201,563,174",03 Oct 2014,"Drama, Mystery, Thriller",David Fincher,"Gillian Flynn (screenplay), Gillian Flynn (novel)","Ben Affleck, Rosamund Pike, Neil Patrick Harris, Tyler Perry",English,Nominated for 1 Oscar. Another 65 wins & 177 nominations.,USA,20th Century Fox,"758,570",0.81,0.87,0.79
tt1921064,Pompeii,(I),PG-13,105min,"Action,Adventure,Drama","$100,000,000","$10,340,823","$23,219,748","$117,831,631",Release Date: 21 February 2014 (Taiwan),0,"15,630,000","729,142","1,130,375","632,284","94,611,883",21 Feb 2014,"Action, Adventure, Drama, History, Romance",Paul W.S. Anderson,"Janet Scott Batchler (screenplay), Lee Batchler (screenplay), Michael Robert Johnson (screenplay)","Kit Harington, Carrie-Anne Moss, Emily Browning, Adewale Akinnuoye-Agbaje",English,9 wins & 4 nominations.,"Canada, Germany, USA",Sony Pictures,"99,841",0.55,0.27,0.39
tt2084970,The Imitation Game,(2014),PG-13,114min,"Biography,Drama,Thriller","$14,000,000","$479,352","$91,125,683","$233,555,708",Release Date: 26 February 2015 (Taiwan),"2,557,417","5,330,000","2,448,157",0,"737,574","142,430,025",25 Dec 2014,"Biography, Drama, Thriller, War",Morten Tyldum,"Graham Moore, Andrew Hodges (book)","Benedict Cumberbatch, Keira Knightley, Matthew Goode, Rory Kinnear","English, German",Won 1 Oscar. Another 46 wins & 155 nominations.,"USA, UK",The Weinstein Company,"618,783",0.8,0.9,0.73
tt2582802,Whiplash,(2014),R,106min,"Drama,Music","$3,300,000","$135,388","$13,092,000","$48,982,041",Release Date: 30 January 2015 (Taiwan),"411,493",0,"150,873","29,141","101,605","35,890,041",15 Oct 2014,"Drama, Music",Damien Chazelle,Damien Chazelle,"Miles Teller, J.K. Simmons, Paul Reiser, Melissa Benoist",English,Won 3 Oscars. Another 89 wins & 136 nominations.,USA,Sony Pictures Classics,"613,496",0.85,0.93,0.88
tt2872732,Lucy,(I),R,89min,"Action,Sci-Fi,Thriller","$40,000,000","$43,899,340","$126,663,600","$463,360,063",Release Date: 20 August 2014 (Taiwan),0,"44,780,000","2,537,494","4,513,548","3,059,586","336,696,463",25 Jul 2014,"Action, Sci-Fi, Thriller",Luc Besson,Luc Besson,"Scarlett Johansson, Morgan Freeman, Min-sik Choi, Amr Waked","English, Mandarin, French, Italian, German, Spanish, Korean",1 win & 11 nominations.,France,Universal Pictures,"401,712",0.64,0.67,0.61
tt1587310,Maleficent,(2014),PG,97min,"Action,Adventure,Family","$180,000,000","$69,431,298","$241,410,378","$758,539,785",Release Date: 30 May 2014 (Taiwan),0,"47,720,000","5,269,704","6,393,211","3,717,200","517,129,407",30 May 2014,"Action, Adventure, Family, Fantasy, Romance",Robert Stromberg,"Linda Woolverton (screenplay by), Charles Perrault (based on ""La Belle au bois dormant"" written by)","Angelina Jolie, Elle Fanning, Sharlto Copley, Lesley Manville",English,Nominated for 1 Oscar. Another 10 wins & 42 nominations.,USA,Walt Disney Pictures,"304,775",0.7,0.54,0.56
