id,name,year,classification,runtime,genres,budget,opening_weekend,gross_na,gross_g,release_date,gross_tw,gross_cn,gross_hk,gross_my,gross_sg,gross_xndom,release_date_USA,Genre,Director,Writer,Actors,Language,Awards,Country,Production,imdbVotes,IMDBscore,TomatoesScore,Metascore
tt0458339,Captain America: The First Avenger,(2011),PG-13,124min,"Action,Adventure,Sci-Fi","$140,000,000","$65,058,524","$176,654,505","$370,569,774",Release Date: 28 July 2011 (Taiwan),"6,322,666",0,"2,496,989","2,999,710","3,559,632","193,915,269",22 Jul 2011,"Action, Adventure, Sci-Fi",Joe Johnston,"Christopher Markus (screenplay), Stephen McFeely (screenplay), Joe Simon (comic books), Jack Kirby (comic books)","Chris Evans, Hayley Atwell, Sebastian Stan, Tommy Lee Jones","English, Norwegian, French",3 wins & 46 nominations.,USA,Paramount Pictures,"662,101",0.69,0.8,0.66
tt0800369,Thor,(2011),PG-13,115min,"Action,Adventure,Fantasy","$150,000,000","$65,723,338","$181,030,624","$449,326,618",Release Date: 29 April 2011 (Taiwan),"5,830,415",0,"2,490,495","3,730,598","4,250,375","268,295,994",06 May 2011,"Action, Adventure, Fantasy, Sci-Fi",Kenneth Branagh,"Ashley Miller (screenplay), Zack Stentz (screenplay), Don Payne (screenplay), J. Michael Straczynski (story), Mark Protosevich (story), Stan Lee (comic book), Larry Lieber (comic book), Jack Kirby (comic book)","Chris Hemsworth, Natalie Portman, Tom Hiddleston, Anthony Hopkins",English,5 wins & 30 nominations.,USA,Paramount Pictures,"677,686",0.7,0.77,0.57
tt1219289,Limitless,(I),PG-13,105min,"Mystery,Sci-Fi,Thriller","$27,000,000","$18,907,302","$79,249,455","$161,849,455",Release Date: 8 April 2011 (Taiwan),"1,493,095",0,"589,437","281,225","980,570","82,600,000",18 Mar 2011,"Mystery, Sci-Fi, Thriller",Neil Burger,"Leslie Dixon (screenplay), Alan Glynn (novel)","Bradley Cooper, Robert De Niro, Abbie Cornish, Andrew Howard","English, Russian, Italian, Mandarin, French",2 wins & 8 nominations.,USA,Relativity Media,"491,914",0.74,0.69,0.59
tt0810922,Take Me Home Tonight,(2011),R,97min,"Comedy,Drama,Romance","$23,000,000","$3,464,679","$6,928,068","$7,550,073",Release Date: 4 March 2011 (USA),0,0,0,"65,722",0,"622,005",04 Mar 2011,"Comedy, Drama, Romance",Michael Dowse,"Jackie Filgo (screenplay), Jeff Filgo (screenplay), Topher Grace (story), Gordon Kaywin (story)","Topher Grace, Anna Faris, Dan Fogler, Teresa Palmer",English,1 nomination.,"USA, Germany",Relativity Media,"48,032",0.63,0.27,0.42
tt1201607,Harry Potter and the Deathly Hallows: Part 2,(2011),PG-13,130min,"Adventure,Drama,Fantasy","$125,000,000","$169,189,427","$381,409,310","$1,341,932,398",Release Date: 14 July 2011 (Taiwan),"14,539,174","60,800,000","9,866,622","4,620,830","5,953,466","960,523,087",15 Jul 2011,"Adventure, Drama, Fantasy, Mystery",David Yates,"Steve Kloves (screenplay), J.K. Rowling (novel)","Ralph Fiennes, Michael Gambon, Alan Rickman, Daniel Radcliffe",English,Nominated for 3 Oscars. Another 45 wins & 91 nominations.,"USA, UK",Warner Bros. Pictures,"689,728",0.81,0.96,0.87
tt0978764,Sucker Punch,(2011),PG-13,110min,"Action,Adventure,Fantasy","$82,000,000","$19,058,199","$36,392,502","$89,792,502",Release Date: 25 March 2011 (Taiwan),"1,050,203",0,"651,741","1,312,528","904,874","53,400,000",25 Mar 2011,"Action, Adventure, Fantasy",Zack Snyder,"Zack Snyder (screenplay), Steve Shibuya (screenplay), Zack Snyder (story)","Emily Browning, Abbie Cornish, Jena Malone, Vanessa Hudgens","English, German",1 win & 10 nominations.,"USA, Canada",IMAX,"218,085",0.61,0.22,0.33
tt1478338,Bridesmaids,(I),R,125min,"Comedy,Romance","$32,500,000","$26,247,410","$169,106,725","$288,383,523",Also Known As: Damas en guerra,0,0,"212,242","81,266","554,546","119,276,798",13 May 2011,"Comedy, Romance",Paul Feig,"Kristen Wiig, Annie Mumolo","Kristen Wiig, Terry Crews, Maya Rudolph, Tom Yi",English,Nominated for 2 Oscars. Another 25 wins & 69 nominations.,USA,Universal Studios,"249,070",0.68,0.9,0.75
tt1270798,X-Men: First Class,(2011),PG-13,131min,"Action,Adventure,Sci-Fi","$160,000,000","$55,101,604","$146,408,305","$353,624,124",Release Date: 3 June 2011 (Taiwan),"3,881,629",0,"3,325,262","3,575,090","4,547,291","207,215,819",03 Jun 2011,"Action, Adventure, Sci-Fi",Matthew Vaughn,"Ashley Miller (screenplay by), Zack Stentz (screenplay by), Jane Goldman (screenplay by), Matthew Vaughn (screenplay by), Sheldon Turner (story by), Bryan Singer (story by)","James McAvoy, Laurence Belcher, Michael Fassbender, Bill Milner","English, German, French, Spanish, Russian",20 wins & 38 nominations.,"USA, UK",20th Century Fox,"604,294",0.77,0.86,0.65
tt1210166,Moneyball,(2011),PG-13,133min,"Biography,Drama,Sport","$50,000,000","$19,501,302","$75,605,492","$110,206,216",Release Date: 11 November 2011 (Taiwan),0,0,"95,146",0,"58,922","34,600,724",23 Sep 2011,"Biography, Drama, Sport",Bennett Miller,"Steven Zaillian (screenplay), Aaron Sorkin (screenplay), Stan Chervin (story), Michael Lewis (book)","Brad Pitt, Jonah Hill, Philip Seymour Hoffman, Robin Wright",English,Nominated for 6 Oscars. Another 29 wins & 75 nominations.,USA,Sony Pictures,"325,304",0.76,0.94,0.87
tt1454029,The Help,(2011),PG-13,146min,Drama,"$25,000,000","$26,044,590","$169,708,112","$216,639,112",Release Date: 18 November 2011 (Taiwan),0,0,"161,172",0,"81,546","46,931,000",10 Aug 2011,Drama,Tate Taylor,"Tate Taylor (screenplay), Kathryn Stockett (novel)","Emma Stone, Viola Davis, Bryce Dallas Howard, Octavia Spencer",English,Won 1 Oscar. Another 79 wins & 116 nominations.,"USA, India, United Arab Emirates",DreamWorks Studios,"391,196",0.81,0.76,0.62
