id,name,year,classification,runtime,genres,budget,opening_weekend,gross_na,gross_g,release_date,gross_tw,gross_cn,gross_hk,gross_my,gross_sg,gross_xndom,release_date_USA,Genre,Director,Writer,Actors,Language,Awards,Country,Production,imdbVotes,IMDBscore,TomatoesScore,Metascore
tt0330373,Harry Potter and the Goblet of Fire,(2005),PG-13,157min,"Adventure,Family,Fantasy","$150,000,000","$102,685,961","$290,417,905","$897,336,271",Release Date: 18 November 2005 (Taiwan),"7,100,000","11,500,000","5,966,462","2,060,000",0,"606,918,365",18 Nov 2005,"Adventure, Family, Fantasy, Mystery",Mike Newell,"Steve Kloves (screenplay), J.K. Rowling (novel)","Eric Sykes, Timothy Spall, David Tennant, Daniel Radcliffe","English, French",Nominated for 1 Oscar. Another 13 wins & 42 nominations.,"UK, USA",Warner Bros. Pictures,"488,024",0.77,0.88,0.81
tt0372784,Batman Begins,(2005),PG-13,140min,"Action,Adventure","$150,000,000","$48,745,440","$206,852,432","$374,269,529",Release Date: 15 June 2005 (Taiwan),"1,331,204","1,049,000","1,798,348",0,0,"167,417,097",15 Jun 2005,"Action, Adventure",Christopher Nolan,"Bob Kane (characters), David S. Goyer (story), Christopher Nolan (screenplay), David S. Goyer (screenplay)","Christian Bale, Michael Caine, Liam Neeson, Katie Holmes","English, Urdu, Mandarin",Nominated for 1 Oscar. Another 14 wins & 72 nominations.,"USA, UK",Warner Bros. Pictures,"1,186,021",0.82,0.84,0.7
tt0396269,Wedding Crashers,(2005),R,119min,"Comedy,Romance","$40,000,000","$32,200,000","$209,255,921","$285,176,741",Release Date: 19 August 2005 (Taiwan),"1,199,132",0,"349,573",0,"506,011","75,920,820",15 Jul 2005,"Comedy, Romance",David Dobkin,"Steve Faber, Bob Fisher","Owen Wilson, Vince Vaughn, Christopher Walken, Rachel McAdams",English,11 wins & 11 nominations.,USA,New Line Cinema,"313,891",0.7,0.75,0.64
tt0401792,Sin City,(2005),R,124min,"Crime,Thriller","$40,000,000","$28,100,000","$74,103,820","$158,753,820",Release Date: 27 May 2005 (Taiwan),"478,591",0,"371,047",0,0,"84,650,000",01 Apr 2005,"Crime, Thriller","Frank Miller, Robert Rodriguez, Quentin Tarantino",Frank Miller (graphic novels),"Jessica Alba, Devon Aoki, Alexis Bledel, Powers Boothe",English,33 wins & 51 nominations.,USA,Dimension Films,"713,799",0.8,0.77,0.74
tt0414387,Pride & Prejudice,(2005),PG,129min,"Drama,Romance","$28,000,000","$2,804,000","$38,405,088","$121,147,947",Release Date: 27 January 2006 (Taiwan),"1,031,645",0,"471,453","103,426","150,170","82,742,859",23 Nov 2005,"Drama, Romance",Joe Wright,"Jane Austen (novel), Deborah Moggach (screenplay)","Keira Knightley, Talulah Riley, Rosamund Pike, Jena Malone",English,Nominated for 4 Oscars. Another 13 wins & 54 nominations.,"France, UK, USA",Focus Features,"230,583",0.78,0.86,0.82
tt0360486,Constantine,(2005),R,121min,"Action,Fantasy,Horror","$100,000,000","$29,769,098","$75,976,178","$230,884,728",Release Date: 9 February 2005 (Taiwan),"5,650,122",0,"2,675,138","1,330,000","1,442,256","154,908,550",18 Feb 2005,"Action, Fantasy, Horror, Mystery",Francis Lawrence,"Jamie Delano (comic book ""Hellblazer""), Garth Ennis (comic book ""Hellblazer""), Kevin Brodbin (story), Kevin Brodbin (screenplay), Frank A. Cappello (screenplay)","Keanu Reeves, Rachel Weisz, Shia LaBeouf, Djimon Hounsou","English, Filipino, Tagalog",2 wins & 9 nominations.,"USA, Germany",Warner Bros. Pictures,"277,215",0.7,0.46,0.5
tt0405422,The 40 Year Old Virgin,(2005),R,116min,"Comedy,Romance","$26,000,000","$21,422,815","$109,449,237","$177,378,645",Release Date: 19 August 2005 (USA),"385,169",0,0,0,"445,680","67,929,408",19 Aug 2005,"Comedy, Romance",Judd Apatow,"Judd Apatow, Steve Carell","Steve Carell, Catherine Keener, Paul Rudd, Romany Malco","English, Spanish, Japanese",10 wins & 19 nominations.,USA,Universal Pictures,"362,391",0.71,0.85,0.73
tt0121766,Star Wars: Episode III - Revenge of the Sith,(2005),PG-13,140min,"Action,Adventure,Fantasy","$113,000,000","$108,435,841","$380,270,577","$848,792,798",Release Date: 20 May 2005 (Taiwan),"3,241,852","9,128,645","2,531,147","1,668,063","2,501,307","468,522,221",19 May 2005,"Action, Adventure, Fantasy, Sci-Fi",George Lucas,George Lucas,"Ewan McGregor, Natalie Portman, Hayden Christensen, Ian McDiarmid",English,Nominated for 1 Oscar. Another 25 wins & 56 nominations.,USA,20th Century Fox,"637,267",0.76,0.8,0.68
tt0360717,King Kong,(2005),PG-13,187min,"Action,Adventure,Drama","$207,000,000","$50,130,145","$218,080,025","$550,517,357",Release Date: 14 December 2005 (Taiwan),"7,350,836","12,684,023","5,079,955","3,265,934","3,038,821","332,437,332",14 Dec 2005,"Action, Adventure, Drama, Romance",Peter Jackson,"Fran Walsh (screenplay), Philippa Boyens (screenplay), Peter Jackson (screenplay), Merian C. Cooper (based on a story by), Edgar Wallace (based on a story by)","Naomi Watts, Jack Black, Adrien Brody, Thomas Kretschmann",English,Won 3 Oscars. Another 43 wins & 100 nominations.,"New Zealand, USA, Germany",Universal Pictures,"365,060",0.72,0.84,0.81
tt0367594,Charlie and the Chocolate Factory,(2005),PG,115min,"Adventure,Comedy,Family","$150,000,000","$56,178,450","$206,459,076","$474,968,763",Also Known As: Charlie y la fábrica de chocolate,"1,705,000",0,"1,909,649","132,881","1,200,000","268,509,687",15 Jul 2005,"Adventure, Comedy, Family, Fantasy, Musical",Tim Burton,"Roald Dahl (book), John August (screenplay)","Johnny Depp, Freddie Highmore, David Kelly, Helena Bonham Carter",English,Nominated for 1 Oscar. Another 14 wins & 50 nominations.,"USA, UK, Australia",Warner Bros. Pictures,"388,572",0.66,0.82,0.72
tt0388795,Brokeback Mountain,(2005),R,134min,"Drama,Romance","$14,000,000","$547,425","$83,043,761","$178,062,759",Release Date: 20 January 2006 (Taiwan),"1,536,782",0,"1,426,575",0,0,"95,018,998",13 Jan 2006,"Drama, Romance",Ang Lee,"Annie Proulx (short story), Larry McMurtry (screenplay), Diana Ossana (screenplay)","Heath Ledger, Jake Gyllenhaal, Randy Quaid, Valerie Planche","English, Spanish",Won 3 Oscars. Another 138 wins & 128 nominations.,"USA, Canada",Focus Features,"298,658",0.77,0.87,0.87
tt0433400,Just Friends,(I),PG-13,96min,"Comedy,Romance",,"$9,275,000","$32,619,671","$51,024,243",Also Known As: Apenas Amigos,0,0,0,0,0,"18,404,572",23 Nov 2005,"Comedy, Romance",Roger Kumble,Adam 'Tex' Davis,"Ryan Reynolds, Amy Smart, Anna Faris, Chris Klein",English,3 nominations.,"Germany, USA, Canada",New Line Cinema,"96,529",0.62,0.42,0.47
tt0434409,V for Vendetta,(2005),R,132min,"Action,Drama,Sci-Fi","$54,000,000","$25,642,340","$70,511,035","$132,511,035",Release Date: 17 March 2006 (Taiwan),"315,460",0,"193,947",0,"227,000","62,000,000",17 Mar 2006,"Action, Drama, Sci-Fi, Thriller",James McTeigue,"Lilly Wachowski (screenplay), Lana Wachowski (screenplay), David Lloyd (graphic novel art)","Natalie Portman, Hugo Weaving, Stephen Rea, Stephen Fry",English,7 wins & 27 nominations.,"USA, UK, Germany",Warner Bros. Pictures,"946,204",0.82,0.73,0.62
tt0348333,Waiting...,(I),R,94min,Comedy,"$3,000,000","$6,021,106","$16,124,543","$18,637,690",Release Date: 7 October 2005 (USA),0,0,0,0,0,"2,513,147",07 Oct 2005,Comedy,Rob McKittrick,Rob McKittrick,"Ryan Reynolds, Anna Faris, Justin Long, David Koechner","English, German",N/A,USA,Lions Gate,"83,726",0.68,0.31,0.3
tt0320661,Kingdom of Heaven,(2005),R,144min,"Action,Adventure,Drama","$130,000,000","$19,635,996","$47,398,413","$211,652,051",Also Known As: Cruzada,"3,160,826",0,"866,500","704,135","1,098,073","164,253,638",06 May 2005,"Action, Adventure, Drama, History, War",Ridley Scott,William Monahan,"Martin Hancock, Michael Sheen, Nathalie Cox, Eriq Ebouaney","English, Arabic, Latin, Italian",5 wins & 14 nominations.,"UK, Germany, Spain, Morocco, USA",20th Century Fox,"249,370",0.72,0.39,0.63
tt0363771,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",(2005),PG,143min,"Adventure,Family,Fantasy","$180,000,000","$65,556,312","$291,710,957","$745,013,115",Release Date: 30 December 2005 (Taiwan),"3,750,000","7,800,000","3,915,444","1,940,000",0,"453,302,158",09 Dec 2005,"Adventure, Family, Fantasy",Andrew Adamson,"Ann Peacock (screenplay), Andrew Adamson (screenplay), Christopher Markus (screenplay), Stephen McFeely (screenplay), C.S. Lewis (book)","Georgie Henley, Skandar Keynes, William Moseley, Anna Popplewell","English, German, Brazilian Sign Language",Won 1 Oscar. Another 14 wins & 46 nominations.,"USA, UK",Buena Vista,"339,028",0.69,0.76,0.75
tt0379786,Serenity,(2005),PG-13,119min,"Action,Adventure,Sci-Fi","$39,000,000","$10,086,680","$25,514,517","$38,869,464",Release Date: 30 September 2005 (USA),0,0,0,0,0,"13,354,947",30 Sep 2005,"Action, Adventure, Sci-Fi, Thriller",Joss Whedon,Joss Whedon,"Nathan Fillion, Gina Torres, Alan Tudyk, Morena Baccarin","English, Mandarin",9 wins & 9 nominations.,USA,Universal Pictures,"269,129",0.79,0.83,0.74
