id,name,year,classification,runtime,genres,budget,opening_weekend,gross_na,gross_g,release_date,gross_tw,gross_cn,gross_hk,gross_my,gross_sg,gross_xndom,release_date_USA,Genre,Director,Writer,Actors,Language,Awards,Country,Production,imdbVotes,IMDBscore,TomatoesScore,Metascore
tt3385516,X-Men: Apocalypse,(2016),PG-13,144min,"Action,Adventure,Sci-Fi","$178,000,000","$65,769,562","$155,442,489","$544,647,743",Release Date: 18 May 2016 (Taiwan),"3,771,307","120,765,095","6,554,697","2,871,603","5,865,247","389,205,254",27 May 2016,"Action, Adventure, Sci-Fi",Bryan Singer,"Simon Kinberg (screenplay by), Bryan Singer (story by), Simon Kinberg (story by), Michael Dougherty (story by), Dan Harris (story by)","James McAvoy, Michael Fassbender, Jennifer Lawrence, Nicholas Hoult","English, Polish, German, Arabic, Egyptian (Ancient)",1 win & 14 nominations.,USA,20th Century Fox,"350,572",0.7,0.47,0.52
tt3498820,Captain America: Civil War,(2016),PG-13,147min,"Action,Adventure,Sci-Fi","$250,000,000","$179,139,142","$408,084,349","$1,153,296,293",Release Date: 27 April 2016 (Taiwan),"16,397,475","180,794,517","15,473,511","10,685,000","8,396,857","745,211,944",06 May 2016,"Action, Adventure, Sci-Fi","Anthony Russo, Joe Russo","Christopher Markus (screenplay by), Stephen McFeely (screenplay by), Joe Simon (based on the Marvel comics by), Jack Kirby (based on the Marvel comics by)","Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan","English, German, Xhosa, Russian, Romanian, Hindi",16 wins & 65 nominations.,USA,Walt Disney Pictures,"574,126",0.78,0.91,0.75
tt3721936,American Honey,(2016),R,163min,"Adventure,Drama,Romance",,"$71,203","$663,246","$1,818,075",Release Date: 14 October 2016 (UK),0,0,0,0,0,"1,154,829",14 Oct 2016,"Adventure, Drama, Romance",Andrea Arnold,Andrea Arnold,"Sasha Lane, Shia LaBeouf, Riley Keough, McCaul Lombardi",English,Nominated for 1 BAFTA Film Award. Another 13 wins & 35 nominations.,"UK, USA",Parts and Labor,"31,222",0.7,0.8,0.79
tt1431045,Deadpool,(2016),R,108min,"Action,Adventure,Comedy","$58,000,000","$132,434,639","$363,070,709","$783,772,219",Release Date: 9 February 2016 (Taiwan),"12,471,651",0,"7,967,589","5,292,874","4,499,140","420,701,510",12 Feb 2016,"Action, Adventure, Comedy, Sci-Fi",Tim Miller,"Rhett Reese, Paul Wernick","Ryan Reynolds, Karan Soni, Ed Skrein, Michael Benyaer",English,Nominated for 2 Golden Globes. Another 27 wins & 73 nominations.,USA,20th Century Fox,"815,532",0.8,0.84,0.65
tt2674426,Me Before You,(2016),PG-13,106min,"Drama,Romance","$20,000,000","$18,723,269","$56,245,075","$208,314,186",Release Date: 17 June 2016 (Taiwan),"4,100,000",0,"1,300,000",0,0,"152,069,111",03 Jun 2016,"Drama, Romance",Thea Sharrock,"Jojo Moyes (based on the novel by), Jojo Moyes (screenplay by)","Sam Claflin, Vanessa Kirby, Emilia Clarke, Eileen Dunwoodie","English, French",6 wins & 6 nominations.,"UK, USA",Warner Bros. Pictures,"173,261",0.74,0.56,0.51
tt2709768,The Secret Life of Pets,(2016),PG,87min,"Animation,Adventure,Comedy","$75,000,000","$104,352,905","$368,384,330","$875,457,937",Release Date: 29 June 2016 (Taiwan),"5,276,000","58,307,653","4,175,722","1,534,193","2,659,571","507,073,607",08 Jul 2016,"Animation, Adventure, Comedy, Family","Chris Renaud, Yarrow Cheney(co-director)","Cinco Paul, Ken Daurio, Brian Lynch","Louis C.K., Eric Stonestreet, Kevin Hart, Jenny Slate",English,4 wins & 15 nominations.,"Japan, USA, France",Universal Pictures,"160,898",0.65,0.73,0.61
tt2975590,Batman v Superman: Dawn of Justice,(2016),PG-13,151min,"Action,Adventure,Fantasy","$250,000,000","$166,007,347","$330,360,194","$873,634,919",Release Date: 25 March 2016 (Taiwan),"7,238,467","95,769,365","8,504,499","7,500,064","5,742,914","543,274,725",25 Mar 2016,"Action, Adventure, Fantasy, Sci-Fi",Zack Snyder,"Chris Terrio, David S. Goyer, Bob Kane (Batman created by), Bill Finger (Batman created by), Jerry Siegel (Superman created by), Joe Shuster (Superman created by), William Moulton Marston (character created by: Wonder Woman)","Ben Affleck, Henry Cavill, Amy Adams, Jesse Eisenberg",English,14 wins & 30 nominations.,USA,Warner Bros. Pictures,"574,089",0.65,0.27,0.44
tt4016934,The Handmaiden,(2016),NotRated,145min,"Drama,Romance,Thriller","￦10,000,000,000","$92,129","$2,006,788","$37,692,886",Release Date: 24 June 2016 (Taiwan),0,0,0,0,0,"35,686,098",01 Jun 2016,"Drama, Romance, Thriller",Chan-wook Park,"Sarah Waters (inspired by the novel ""Fingersmith"" by), Seo-kyeong Jeong (screenplay), Chan-wook Park (screenplay)","Min-hee Kim, Tae-ri Kim, Jung-woo Ha, Jin-Woong Cho","Korean, Japanese",Won 1 BAFTA Film Award. Another 59 wins & 88 nominations.,South Korea,CJ Entertainment,"77,226",0.81,0.95,0.84
tt2404233,Gods of Egypt,(2016),PG-13,127min,"Action,Adventure,Fantasy","$140,000,000","$14,123,903","$31,153,464","$150,680,864",Release Date: 26 February 2016 (Taiwan),0,"35,598,525","1,847,480","2,329,446","1,276,147","119,527,400",26 Feb 2016,"Action, Adventure, Fantasy",Alex Proyas,"Matt Sazama, Burk Sharpless","Brenton Thwaites, John Samaha, Courtney Eaton, Nikolaj Coster-Waldau",English,2 wins & 14 nominations.,"USA, Australia, China",Lionsgate,"94,644",0.54,0.15,0.25
tt1974419,The Neon Demon,(2016),R,117min,"Horror,Thriller","$7,000,000","$589,014","$1,333,124","$3,377,430",Release Date: 26 August 2016 (Taiwan),0,0,0,0,0,"2,044,306",24 Jun 2016,"Horror, Thriller",Nicolas Winding Refn,"Nicolas Winding Refn (story by), Nicolas Winding Refn (screenplay by), Mary Laws (screenplay by), Polly Stenham (screenplay by)","Elle Fanning, Karl Glusman, Jena Malone, Bella Heathcote",English,18 wins & 31 nominations.,"Denmark, France, USA, UK",Space Rocket Nation,"71,534",0.62,0.58,0.51
