id,name,year,classification,runtime,genres,budget,opening_weekend,gross_na,gross_g,release_date,gross_tw,gross_cn,gross_hk,gross_my,gross_sg,gross_xndom,release_date_USA,Genre,Director,Writer,Actors,Language,Awards,Country,Production,imdbVotes,IMDBscore,TomatoesScore,Metascore
tt3460252,The Hateful Eight,(2015),R,168min,"Crime,Drama,Mystery","$44,000,000","$4,610,676","$54,117,416","$155,760,117",Release Date: 19 February 2016 (Taiwan),"216,434",0,"231,912",0,"165,361","101,642,701",30 Dec 2015,"Crime, Drama, Mystery, Thriller, Western",Quentin Tarantino,Quentin Tarantino,"Samuel L. Jackson, Kurt Russell, Jennifer Jason Leigh, Walton Goggins","English, Spanish, French",Won 1 Oscar. Another 39 wins & 113 nominations.,USA,The Weinstein Company,"429,120",0.78,0.74,0.68
tt3286052,The Blackcoat's Daughter,(2015),R,93min,"Horror,Thriller",,"$12,402","$20,435","$38,348",Also Known As: La enviada del mal,0,0,0,0,0,"17,913",16 Feb 2017,"Horror, Thriller",Oz Perkins,Oz Perkins,"Emma Roberts, Kiernan Shipka, Lucy Boynton, James Remar",English,6 nominations.,"Canada, USA",A24 and DIRECTV,"13,025",0.59,0.73,0.68
tt2488496,Star Wars: Episode VII - The Force Awakens,(2015),PG-13,136min,"Action,Adventure,Fantasy","$245,000,000","$247,966,675","$936,662,225","$2,068,223,624",Release Date: 17 December 2015 (Taiwan),"6,464,714","125,398,521","11,082,181","6,628,971","7,173,581","1,131,561,399",18 Dec 2015,"Action, Adventure, Fantasy, Sci-Fi",J.J. Abrams,"Lawrence Kasdan, J.J. Abrams, Michael Arndt, George Lucas (based on characters created by)","Harrison Ford, Mark Hamill, Carrie Fisher, Adam Driver",English,Nominated for 5 Oscars. Another 57 wins & 123 nominations.,USA,Walt Disney Pictures,"783,304",0.8,0.92,0.81
tt3170832,Room,(I),R,118min,"Drama,Thriller","$13,000,000","$118,298","$14,677,654","$35,401,758",Release Date: 26 February 2016 (Taiwan),"460,186",0,"649,972",0,0,"20,724,104",22 Jan 2016,"Drama, Thriller",Lenny Abrahamson,"Emma Donoghue (screenplay by), Emma Donoghue (based on the novel by)","Brie Larson, Jacob Tremblay, Sean Bridgers, Wendy Crewson",English,Won 1 Oscar. Another 103 wins & 136 nominations.,"Ireland, Canada, UK, USA",Element Pictures,"315,159",0.82,0.93,0.86
tt1663202,The Revenant,(2015),R,156min,"Action,Adventure,Biography","$135,000,000","$474,560","$183,637,894","$532,950,503",Release Date: 8 January 2016 (Taiwan),"3,468,696","58,684,119","2,931,731","491,196","1,360,280","349,312,609",08 Jan 2016,"Action, Adventure, Biography, Drama, Western",Alejandro G. Iñárritu,"Mark L. Smith (screenplay), Alejandro G. Iñárritu (screenplay), Michael Punke (based in part on the novel by)","Leonardo DiCaprio, Tom Hardy, Domhnall Gleeson, Will Poulter","English, Pawnee, French",Won 3 Oscars. Another 86 wins & 181 nominations.,"USA, Hong Kong, Taiwan",20th Century Fox,"618,482",0.8,0.78,0.76
tt3659388,The Martian,(2015),PG-13,144min,"Adventure,Drama,Sci-Fi","$108,000,000","$54,308,575","$228,433,663","$630,161,890",Release Date: 2 October 2015 (Taiwan),"5,623,332","94,932,731","5,800,790","1,940,583","2,974,435","401,728,227",02 Oct 2015,"Adventure, Drama, Sci-Fi",Ridley Scott,"Drew Goddard (screenplay by), Andy Weir (based on the novel by)","Matt Damon, Jessica Chastain, Kristen Wiig, Jeff Daniels","English, Mandarin",Nominated for 7 Oscars. Another 37 wins & 185 nominations.,"UK, USA",20th Century Fox,"674,891",0.8,0.91,0.8
tt3569230,Legend,(I),R,132min,"Biography,Crime,Drama","$30,000,000","$86,836","$1,872,994","$42,972,994",Release Date: 13 November 2015 (Taiwan),"149,826",0,"81,797",0,"135,052","41,100,000",20 Nov 2015,"Biography, Crime, Drama, Thriller",Brian Helgeland,"Brian Helgeland, John Pearson (book)","Paul Anderson, Tom Hardy, Christopher Eccleston, Joshua Hill",English,6 wins & 10 nominations.,"UK, France, USA",Universal Studios,"138,581",0.7,0.61,0.55
tt1596363,The Big Short,(2015),R,130min,"Biography,Comedy,Drama","$28,000,000","$705,527","$70,259,870","$133,440,870",Release Date: 15 January 2016 (Taiwan),"797,022",0,"1,022,843","110,803","471,812","63,181,000",23 Dec 2015,"Biography, Comedy, Drama, History",Adam McKay,"Charles Randolph (screenplay by), Adam McKay (screenplay by), Michael Lewis (based upon the book by)","Ryan Gosling, Rudy Eisenzopf, Casey Groves, Charlie Talbert",English,Won 1 Oscar. Another 37 wins & 79 nominations.,USA,Paramount Pictures,"307,778",0.78,0.88,0.81
tt1502712,Fantastic Four,(2015),PG-13,100min,"Action,Adventure,Drama","$120,000,000","$25,685,737","$56,117,548","$168,257,860",Release Date: 7 August 2015 (Taiwan),"1,398,783",0,"1,928,060","2,516,590","2,064,184","112,140,312",07 Aug 2015,"Action, Adventure, Drama, Sci-Fi",Josh Trank,"Jeremy Slater (screenplay), Simon Kinberg (screenplay), Josh Trank (screenplay), Stan Lee (Marvel comic book), Jack Kirby (Marvel comic book)","Miles Teller, Michael B. Jordan, Kate Mara, Jamie Bell",English,8 wins & 4 nominations.,"USA, Germany, UK",20th Century Fox,"139,365",0.43,0.09,0.27
tt2379713,Spectre,(I),PG-13,148min,"Action,Adventure,Thriller","$245,000,000","$70,403,148","$200,074,609","$880,674,609",Release Date: 5 November 2015 (Taiwan),"5,666,876","83,509,789","5,631,130","5,361,057","4,598,137","680,600,000",06 Nov 2015,"Action, Adventure, Thriller",Sam Mendes,"John Logan (screenplay by), Neal Purvis (screenplay by), Robert Wade (screenplay by), Jez Butterworth (screenplay by), John Logan (story by), Neal Purvis (story by), Robert Wade (story by), Ian Fleming (based on characters created by)","Daniel Craig, Christoph Waltz, Léa Seydoux, Ralph Fiennes","English, Spanish, Italian, German, French",Won 1 Oscar. Another 7 wins & 32 nominations.,"UK, USA",Sony Pictures,"350,849",0.68,0.64,0.6
tt1638355,The Man from U.N.C.L.E.,(2015),PG-13,116min,"Action,Adventure,Comedy","$75,000,000","$13,421,036","$45,445,109","$109,845,109",Release Date: 13 August 2015 (Taiwan),"2,371,500",0,"759,059","912,124","1,133,843","64,400,000",14 Aug 2015,"Action, Adventure, Comedy",Guy Ritchie,"Guy Ritchie (screenplay by), Lionel Wigram (screenplay by), Jeff Kleeman (story by), David C. Wilson (story by), Guy Ritchie (story by), Lionel Wigram (story by), Sam Rolfe (based on the television series created by)","Henry Cavill, Armie Hammer, Alicia Vikander, Elizabeth Debicki","English, Russian, German, Italian",7 wins & 5 nominations.,"USA, UK",Warner Bros. Pictures,"239,191",0.73,0.66,0.56
tt0810819,The Danish Girl,(2015),R,119min,"Biography,Drama,Romance","$15,000,000","$187,318","$11,114,018","$64,191,523",Release Date: 12 February 2016 (Taiwan),"2,143,017",0,"1,922,473",0,"284,277","53,077,505",22 Jan 2016,"Biography, Drama, Romance",Tom Hooper,"Lucinda Coxon (screenplay), David Ebershoff (book)","Alicia Vikander, Eddie Redmayne, Tusse Silberg, Adrian Schiller","English, French, German",Won 1 Oscar. Another 30 wins & 73 nominations.,"UK, USA, Germany, Denmark, Belgium, Japan",Focus Features,"145,435",0.71,0.67,0.66
tt1895587,Spotlight,(I),R,129min,"Crime,Drama","$20,000,000","$295,009","$45,055,776","$98,275,238",Release Date: 19 February 2016 (Taiwan),"605,214",0,"582,202",0,"276,108","53,219,462",20 Nov 2015,"Crime, Drama",Tom McCarthy,"Josh Singer, Tom McCarthy","Mark Ruffalo, Michael Keaton, Rachel McAdams, Liev Schreiber",English,Won 2 Oscars. Another 119 wins & 138 nominations.,USA,Open Road Films,"363,894",0.81,0.97,0.93
tt2494362,Bone Tomahawk,(2015),NotRated,132min,"Adventure,Drama,Horror","$1,800,000",,,"$382,579",Also Known As: Frontera caníbal,0,0,0,0,"9,702","382,579",19 Feb 2016,"Adventure, Drama, Horror, Western",S. Craig Zahler,S. Craig Zahler,"Kurt Russell, Patrick Wilson, Matthew Fox, Richard Jenkins",English,8 wins & 20 nominations.,"USA, UK",Image Entertainment,"69,942",0.71,0.91,0.72
tt2381249,Mission: Impossible - Rogue Nation,(2015),PG-13,131min,"Action,Adventure,Thriller","$150,000,000","$55,520,089","$195,042,377","$682,714,267",Release Date: 29 July 2015 (Taiwan),"12,684,678","136,760,000","7,234,910","5,951,143","5,380,343","487,671,890",31 Jul 2015,"Action, Adventure, Thriller",Christopher McQuarrie,"Christopher McQuarrie (screenplay), Christopher McQuarrie (story), Drew Pearce (story), Bruce Geller (television series)","Tom Cruise, Jeremy Renner, Simon Pegg, Rebecca Ferguson","English, Swedish, German",6 wins & 23 nominations.,"USA, China, Hong Kong, Austria",Paramount Pictures,"310,077",0.74,0.93,0.75
tt1618442,The Last Witch Hunter,(2015),PG-13,106min,"Action,Adventure,Fantasy","$90,000,000","$10,812,861","$27,367,660","$146,936,910",Release Date: 23 October 2015 (USA),"2,136,628","27,404,245","958,263","2,588,978","1,038,118","119,569,250",23 Oct 2015,"Action, Adventure, Fantasy",Breck Eisner,"Cory Goodman, Matt Sazama, Burk Sharpless","Vin Diesel, Rose Leslie, Elijah Wood, Ólafur Darri Ólafsson",English,1 nomination.,"USA, China, Canada",Summit Entertainment.,"85,455",0.6,0.17,0.34
tt3076658,Creed,(2015),PG-13,133min,"Drama,Sport","$35,000,000","$29,632,823","$109,767,581","$173,567,581",Release Date: 25 November 2015 (USA),0,0,"113,658",0,"329,820","63,800,000",25 Nov 2015,"Drama, Sport",Ryan Coogler,"Ryan Coogler (screenplay by), Aaron Covington (screenplay by), Ryan Coogler (story by), Sylvester Stallone (based on characters created by)","Michael B. Jordan, Sylvester Stallone, Tessa Thompson, Phylicia Rashad","English, Spanish",Nominated for 1 Oscar. Another 46 wins & 61 nominations.,USA,Warner Bros.,"224,004",0.76,0.95,0.82
tt3567288,The Visit,(I),PG-13,94min,"Horror,Mystery,Thriller","$5,000,000","$25,427,560","$65,206,105","$98,450,062",Also Known As: Untitled Blumhouse Horror 1,"177,885",0,0,"161,101","314,416","33,243,957",11 Sep 2015,"Horror, Mystery, Thriller",M. Night Shyamalan,M. Night Shyamalan,"Olivia DeJonge, Ed Oxenbould, Deanna Dunagan, Peter McRobbie",English,1 win & 14 nominations.,USA,Universal Pictures,"102,068",0.62,0.66,0.55
tt1951266,The Hunger Games: Mockingjay - Part 2,(2015),PG-13,137min,"Action,Adventure,Sci-Fi","$160,000,000","$102,665,981","$281,723,902","$653,428,261",Release Date: 20 November 2015 (Taiwan),"4,338,405","21,525,450","3,609,955","2,860,579","3,157,813","371,704,359",20 Nov 2015,"Action, Adventure, Sci-Fi, Thriller",Francis Lawrence,"Peter Craig (screenplay), Danny Strong (screenplay), Suzanne Collins (adaptation), Suzanne Collins (novel)","Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Woody Harrelson",English,17 wins & 34 nominations.,USA,Lionsgate Films,"251,002",0.66,0.7,0.65
tt1398426,Straight Outta Compton,(2015),R,147min,"Biography,Drama,History","$28,000,000","$60,200,180","$161,197,785","$201,634,991",Release Date: 14 August 2015 (USA),"250,277",0,0,0,"37,674","40,437,206",14 Aug 2015,"Biography, Drama, History, Music",F. Gary Gray,"Jonathan Herman (screenplay), Andrea Berloff (screenplay), S. Leigh Savidge (story), Alan Wenkus (story), Andrea Berloff (story)","O'Shea Jackson Jr., Corey Hawkins, Jason Mitchell, Neil Brown Jr.",English,Nominated for 1 Oscar. Another 27 wins & 40 nominations.,USA,Universal Pictures,"165,010",0.79,0.88,0.72
tt1390411,In the Heart of the Sea,(2015),PG-13,122min,"Action,Adventure,Biography","$100,000,000","$11,053,366","$25,020,758","$93,920,758",Release Date: 11 December 2015 (Taiwan),"1,610,608",0,"770,876","1,692,823","636,811","68,900,000",11 Dec 2015,"Action, Adventure, Biography, Drama, History, Thriller",Ron Howard,"Charles Leavitt (screenplay), Charles Leavitt (story), Rick Jaffa (story), Amanda Silver (story), Nathaniel Philbrick (book)","Chris Hemsworth, Benjamin Walker, Cillian Murphy, Brendan Gleeson",English,1 win & 5 nominations.,"USA, Australia, Spain",Warner Bros. Pictures,"108,079",0.69,0.43,0.47
tt2625810,Into the Forest,(2015),R,101min,"Drama,Sci-Fi,Thriller",,"$6,438","$9,995","$92,166",Release Date: 29 July 2016 (USA),0,0,0,0,0,"82,171",29 Jul 2016,"Drama, Sci-Fi, Thriller",Patricia Rozema,"Patricia Rozema, Jean Hegland (based on the novel by)","Ellen Page, Evan Rachel Wood, Max Minghella, Callum Keith Rennie",English,2 wins & 2 nominations.,Canada,N/A,"16,215",0.59,,0.59
