id,name,year,classification,runtime,genres,budget,opening_weekend,gross_na,gross_g,release_date,gross_tw,gross_cn,gross_hk,gross_my,gross_sg,gross_xndom,release_date_USA,Genre,Director,Writer,Actors,Language,Awards,Country,Production,imdbVotes,IMDBscore,TomatoesScore,Metascore
tt0361748,Inglourious Basterds,(2009),R,153min,"Adventure,Drama,War","$70,000,000","$38,054,676","$120,540,719","$321,455,689",Release Date: 21 August 2009 (Taiwan),"418,586",0,"772,626","267,020","700,280","200,914,970",21 Aug 2009,"Adventure, Drama, War","Quentin Tarantino, Eli Roth",Quentin Tarantino,"Brad Pitt, Mélanie Laurent, Christoph Waltz, Eli Roth","English, German, French, Italian",Won 1 Oscar. Another 129 wins & 165 nominations.,"Germany, USA",The Weinstein Company,"1,113,667",0.83,0.88,0.69
tt0499549,Avatar,(2009),PG-13,162min,"Action,Adventure,Fantasy","$237,000,000","$77,025,481","$760,507,625","$2,788,243,800",Release Date: 18 December 2009 (Taiwan),"13,800,025","204,129,854","23,336,774","16,146,767","8,289,595","2,027,736,175",18 Dec 2009,"Action, Adventure, Fantasy, Sci-Fi",James Cameron,James Cameron,"Sam Worthington, Zoe Saldana, Sigourney Weaver, Stephen Lang","English, Spanish",Won 3 Oscars. Another 85 wins & 128 nominations.,"UK, USA",20th Century Fox,"1,038,709",0.78,0.82,0.83
tt0409459,Watchmen,(2009),R,162min,"Action,Drama,Mystery","$130,000,000","$55,214,334","$107,509,799","$185,258,983",Release Date: 6 March 2009 (Taiwan),"648,733",0,"781,728","772,763","715,880","77,749,184",06 Mar 2009,"Action, Drama, Mystery, Sci-Fi",Zack Snyder,"David Hayter (screenplay), Alex Tse (screenplay), Dave Gibbons (graphic novel illustrator)","Malin Akerman, Billy Crudup, Matthew Goode, Jackie Earle Haley",English,11 wins & 22 nominations.,USA,Warner Bros. Pictures,"453,498",0.76,0.64,0.56
tt1119646,The Hangover,(2009),R,100min,Comedy,"$35,000,000","$44,979,319","$277,322,503","$467,517,116",Release Date: 12 June 2009 (Taiwan),"512,666",0,"720,509",0,"935,655","190,194,613",05 Jun 2009,Comedy,Todd Phillips,"Jon Lucas, Scott Moore","Bradley Cooper, Ed Helms, Zach Galifianakis, Justin Bartha",English,Won 1 Golden Globe. Another 12 wins & 25 nominations.,"USA, Germany",Warner Bros. Pictures,"667,429",0.77,0.78,0.73
tt1156398,Zombieland,(2009),R,88min,"Adventure,Comedy,Horror","$23,600,000","$24,733,155","$75,590,286","$102,392,080",Release Date: 2 October 2009 (USA),0,0,0,"357,462","270,562","26,801,794",02 Oct 2009,"Adventure, Comedy, Horror, Sci-Fi",Ruben Fleischer,"Rhett Reese, Paul Wernick","Jesse Eisenberg, Woody Harrelson, Emma Stone, Abigail Breslin",English,9 wins & 28 nominations.,USA,Sony/Columbia Pictures,"455,922",0.76,0.9,0.73
tt0438488,Terminator Salvation,(2009),PG-13,115min,"Action,Adventure,Sci-Fi","$200,000,000","$42,558,390","$125,322,469","$371,353,001",Release Date: 27 May 2009 (Taiwan),"3,392,424",0,"2,331,400","3,886,687","2,058,365","246,030,532",21 May 2009,"Action, Adventure, Sci-Fi",McG,"John Brancato, Michael Ferris","Christian Bale, Sam Worthington, Moon Bloodgood, Helena Bonham Carter","English, Italian",2 wins & 13 nominations.,"USA, Germany, UK, Italy",Warner Bros. Pictures,"320,418",0.66,0.33,0.49
tt0796366,Star Trek,(2009),PG-13,127min,"Action,Adventure,Sci-Fi","$150,000,000","$75,204,289","$257,730,019","$385,680,446",Release Date: 8 May 2009 (Taiwan),"557,031","8,916,639","1,282,243","960,679","1,195,561","127,950,427",08 May 2009,"Action, Adventure, Sci-Fi",J.J. Abrams,"Roberto Orci, Alex Kurtzman, Gene Roddenberry (television series ""Star Trek"")","Chris Pine, Zachary Quinto, Leonard Nimoy, Eric Bana",English,Won 1 Oscar. Another 23 wins & 92 nominations.,"USA, Germany",IMAX,"555,069",0.8,0.94,0.82
tt0458525,X-Men Origins: Wolverine,(2009),PG-13,107min,"Action,Adventure,Sci-Fi","$150,000,000","$85,058,003","$179,883,157","$373,062,864",Release Date: 30 April 2009 (Taiwan),"1,062,118",0,"1,911,652","2,322,754","2,559,609","193,179,707",01 May 2009,"Action, Adventure, Sci-Fi, Thriller",Gavin Hood,"David Benioff (screenplay), Skip Woods (screenplay)","Hugh Jackman, Liev Schreiber, Danny Huston, Will.i.am",English,3 wins & 18 nominations.,"USA, UK",20th Century Fox,"434,809",0.66,0.37,0.4
tt0988045,Sherlock Holmes,(2009),PG-13,128min,"Action,Adventure,Crime","$90,000,000","$62,304,277","$209,028,679","$524,028,679",Release Date: 24 December 2009 (Taiwan),"2,445,815",0,"3,190,592","1,212,543","2,306,579","315,000,000",25 Dec 2009,"Action, Adventure, Crime, Mystery, Thriller",Guy Ritchie,"Michael Robert Johnson (screenplay), Anthony Peckham (screenplay), Simon Kinberg (screenplay), Lionel Wigram (screen story), Michael Robert Johnson (screen story), Arthur Conan Doyle (characters: Sherlock Holmes,  Dr. Watson)","Robert Downey Jr., Jude Law, Rachel McAdams, Mark Strong","English, French",Nominated for 2 Oscars. Another 10 wins & 27 nominations.,"USA, Germany, UK",Warner Bros. Pictures/Village Roadshow,"547,955",0.76,0.7,0.57
tt0417741,Harry Potter and the Half-Blood Prince,(2009),PG,153min,"Adventure,Family,Fantasy","$250,000,000","$77,835,727","$302,305,431","$934,783,686",Release Date: 15 July 2009 (Taiwan),"3,106,984",0,"5,873,659","2,333,468","3,474,126","632,478,254",15 Jul 2009,"Adventure, Family, Fantasy, Mystery",David Yates,"Steve Kloves (screenplay), J.K. Rowling (novel)","Daniel Radcliffe, Michael Gambon, Dave Legeno, Elarica Johnson",English,Nominated for 1 Oscar. Another 8 wins & 35 nominations.,"UK, USA",Warner Bros. Pictures,"417,469",0.76,0.84,0.78
