id,name,year,classification,runtime,genres,budget,opening_weekend,gross_na,gross_g,release_date,gross_tw,gross_cn,gross_hk,gross_my,gross_sg,gross_xndom
tt4651520,Bad Moms (2016),(2016),R,100min,Comedy,"$20,000,000","$23,817,340","$113,257,297","$183,936,074",Release Date: 29 July 2016 (Taiwan),"75,102",0,"390,202","104,867","245,572","70,678,777"
tt3741834,Lion (2016),(2016),PG-13,118min,"Biography,Drama","$12,000,000","$123,360","$51,738,905","$140,312,928",Release Date: 3 March 2017 (Taiwan),"304,347","2,534,618","373,378",0,0,"88,574,023"
tt1289401,Ghostbusters (2016),(2016),PG-13,116min,"Action,Comedy,Fantasy","$144,000,000","$46,018,755","$128,350,574","$229,147,509",Release Date: 14 July 2016 (Taiwan),"1,375,624",0,"1,675,097","2,028,401","1,603,552","100,796,935"
tt1935859,Miss Peregrine's Home for Peculiar Children (2016),(2016),PG-13,127min,"Adventure,Drama,Fantasy","$110,000,000","$28,871,140","$87,242,834","$297,394,473",Release Date: 27 September 2016 (Taiwan),"3,525,912","17,017,610","3,638,864","2,454,349","1,585,057","210,151,639"
tt1878870,The Edge of Seventeen (2016),(2016),R,104min,"Comedy,Drama","$9,000,000","$4,754,215","$14,431,633","$18,803,648",Release Date: 18 November 2016 (USA),0,0,0,0,0,"4,372,015"
tt1679335,Trolls (2016),(2016),PG,92min,"Animation,Adventure,Comedy","$125,000,000","$46,581,142","$153,707,064","$346,864,462",Release Date: 4 November 2016 (Taiwan),0,"7,913,005","254,386","410,324","845,277","193,157,398"
tt2034800,The Great Wall (I) (2016),(I),PG-13,103min,"Action,Adventure,Fantasy","$150,000,000","$18,469,620","$45,540,830","$334,933,831",Release Date: 29 December 2016 (Taiwan),"4,002,518","170,962,106","1,839,998","3,565,598","2,508,720","289,393,001"
tt0490215,Silence (I) (2016),(I),R,161min,"Adventure,Drama,History","$46,000,000","$130,880","$7,100,177","$23,737,523",Release Date: 17 February 2017 (Taiwan),0,0,0,0,0,"16,637,346"
tt1860357,Deepwater Horizon (2016),(2016),PG-13,107min,"Action,Drama,History","$110,000,000","$20,223,544","$61,433,527","$121,790,373",Release Date: 29 September 2016 (Hong Kong),"1,347,583","10,507,817","1,176,924","2,509,418","1,197,621","60,356,846"
tt5073620,Below Her Mouth (2016),(2016),NotRated,94min,"Drama,Romance",,,,"$33,673",Release Date: 21 July 2017 (Taiwan),0,0,0,0,0,"33,673"
tt3289956,The Autopsy of Jane Doe (2016),(2016),R,86min,"Horror,Mystery,Thriller",,,"$10,474","$5,983,416",Release Date: 5 May 2017 (Taiwan),0,0,0,0,0,"5,972,942"
tt4196776,Jason Bourne (2016),(2016),PG-13,123min,"Action,Thriller","$120,000,000","$59,215,365","$162,434,410","$415,484,914",Release Date: 28 July 2016 (Taiwan),"4,554,739","66,904,818","2,196,983","1,445,505","2,161,326","253,050,504"
tt2140479,The Accountant (2016),(2016),R,128min,"Action,Crime,Drama","$44,000,000","$24,710,273","$86,260,045","$155,160,045",Release Date: 14 October 2016 (Taiwan),"3,700,000",0,"852,000",0,0,"68,900,000"
tt3393786,Jack Reacher: Never Go Back (2016),(2016),PG-13,118min,"Action,Thriller","$60,000,000","$22,872,490","$58,697,076","$162,146,076",Release Date: 21 October 2016 (Taiwan),"3,616,268","8,968,438","1,569,306","1,936,379","1,253,704","103,449,000"
tt4262980,Shin Godzilla (2016),(2016),NotRated,120min,"Action,Adventure,Drama",,"$458,342","$1,918,403","$78,048,505",Release Date: 12 August 2016 (Taiwan),0,0,0,0,0,"76,130,102"
tt4276820,The Founder (2016),(2016),PG-13,115min,"Biography,Drama,History","$25,000,000","$3,404,102","$12,786,053","$24,121,245",Release Date: 6 January 2017 (Taiwan),"186,562",0,"177,505",0,"76,621","11,335,192"
tt1355631,The Infiltrator (2016),(2016),R,127min,"Biography,Crime,Drama","$28,000,000","$5,303,775","$15,436,808","$21,011,110",Release Date: 13 July 2016 (USA),0,0,0,0,0,"5,574,302"
tt2005151,War Dogs (2016),(2016),R,114min,"Comedy,Crime,Drama","$40,000,000","$14,685,305","$43,034,523","$86,234,523",Release Date: 25 August 2016 (Taiwan),"348,000",0,"258,000",0,0,"43,200,000"
tt4731136,A Cure for Wellness (2016),(2016),R,146min,"Drama,Fantasy,Horror","$40,000,000","$4,356,941","$8,106,986","$26,620,002",Release Date: 17 February 2017 (Taiwan),"530,860",0,"474,362",0,"118,497","18,513,016"
tt4547056,The Girl with All the Gifts (2016),(2016),R,111min,"Drama,Horror,Sci-Fi","£4,000,000",,,"$4,086,096",Release Date: 8 September 2017 (Taiwan),0,0,0,0,0,"4,086,096"
tt3774114,Snowden (2016),(2016),R,134min,"Biography,Drama,Thriller","$40,000,000","$8,000,058","$21,587,519","$37,279,439",Release Date: 23 September 2016 (Taiwan),0,0,0,0,0,"15,691,920"
tt1901024,Dark Crimes (2016),(2016),R,92min,"Crime,Drama,Thriller","€3,800,000",,,"$20,802",Release Date: 18 May 2018 (USA),0,0,0,0,0,"20,802"
tt4501244,Why Him? (2016),(2016),R,111min,Comedy,"$38,000,000","$11,002,986","$60,323,786","$118,102,725",Release Date: 23 December 2016 (Taiwan),"1,049,223",0,"1,937,646","167,387","423,956","57,778,939"
tt2592614,Resident Evil: The Final Chapter (2016),(2016),R,107min,"Action,Horror,Sci-Fi","$40,000,000","$13,601,682","$26,830,068","$312,242,626",Release Date: 26 January 2017 (Taiwan),"7,905,687","159,548,686","4,839,957","2,835,926","1,528,987","285,412,558"
tt3717252,Underworld: Blood Wars (2016),(2016),R,91min,"Action,Adventure,Fantasy","$35,000,000","$13,688,751","$30,353,973","$81,093,313",Release Date: 1 December 2016 (Taiwan),"1,511,032",0,"914,200","2,255,823","973,795","50,739,340"
tt2387499,Keeping Up with the Joneses (2016),(2016),PG-13,105min,"Action,Comedy","$40,000,000","$5,461,475","$14,904,426","$29,918,745",Release Date: 21 October 2016 (USA),0,"1,723,895",0,0,0,"15,014,319"
tt4682786,Collateral Beauty (2016),(2016),PG-13,97min,"Drama,Romance","$36,000,000","$7,102,085","$31,016,021","$88,528,280",Release Date: 15 December 2016 (Taiwan),"1,300,000",0,"1,000,000",0,0,"57,512,259"
tt4572514,Patriots Day (2016),(2016),R,133min,"Action,Crime,Drama","$45,000,000","$161,306","$31,886,361","$50,549,909",Release Date: 24 February 2017 (Taiwan),"1,009,377","3,172,378","592,634","156,984","268,215","18,663,548"
tt1800302,Gold (I) (2016),(I),R,120min,"Adventure,Drama,Thriller","$20,000,000","$3,471,316","$7,227,038","$14,880,939",Release Date: 24 March 2017 (Taiwan),0,0,0,0,0,"7,653,901"
tt3522806,Mechanic: Resurrection (2016),(2016),R,98min,"Action,Adventure,Thriller","$40,000,000","$7,456,525","$21,218,403","$125,729,635",Release Date: 25 August 2016 (Taiwan),"2,748,292","49,243,215",0,"2,085,264","608,633","104,511,232"
tt3531824,Nerve (I) (2016),(I),PG-13,96min,"Action,Adventure,Crime","$19,000,000","$9,445,456","$38,583,626","$85,251,425",Release Date: 9 September 2016 (Taiwan),"665,457","1,719,814","849,431","308,783","481,424","46,667,799"
tt4540710,Miss Sloane (2016),(2016),R,132min,"Drama,Thriller","$13,000,000","$59,797","$3,500,605","$9,101,546",Release Date: 3 March 2017 (Taiwan),"188,871",0,0,0,0,"5,600,941"
tt1564777,Fallen (II) (2016),(II),PG-13,91min,"Adventure,Drama,Fantasy",,,,"$2,578,927",Release Date: 2 December 2016 (Taiwan),0,0,0,0,0,"2,578,927"
