id,name,year,classification,runtime,genres,budget,opening_weekend,gross_na,gross_g,release_date,gross_tw,gross_cn,gross_hk,gross_my,gross_sg,gross_xndom,release_date_USA,Genre,Director,Writer,Actors,Language,Awards,Country,Production,imdbVotes,IMDBscore,TomatoesScore,Metascore
tt0401729,John Carter,(2012),PG-13,132min,"Action,Adventure,Sci-Fi","$250,000,000","$30,180,188","$73,078,100","$284,139,100",Release Date: 9 March 2012 (Taiwan),0,0,"1,890,557","4,345,140","2,070,634","211,061,000",09 Mar 2012,"Action, Adventure, Sci-Fi",Andrew Stanton,"Andrew Stanton (screenplay by), Mark Andrews (screenplay by), Michael Chabon (screenplay by), Edgar Rice Burroughs (based on the story ""A Princess of Mars"" by)","Taylor Kitsch, Lynn Collins, Samantha Morton, Willem Dafoe",English,2 wins & 8 nominations.,USA,Walt Disney Pictures,"238,353",0.66,0.52,0.51
tt0848228,The Avengers,(2012),PG-13,143min,"Action,Adventure,Sci-Fi","$220,000,000","$207,438,708","$623,357,910","$1,518,812,988",Release Date: 25 April 2012 (Taiwan),"20,100,000","86,300,000","12,468,825","10,965,615","11,172,253","895,455,078",04 May 2012,"Action, Adventure, Sci-Fi",Joss Whedon,"Joss Whedon (screenplay), Zak Penn (story), Joss Whedon (story)","Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth","English, Russian, Hindi",Nominated for 1 Oscar. Another 38 wins & 79 nominations.,USA,Walt Disney Pictures,"1,179,845",0.81,0.92,0.69
tt1853728,Django Unchained,(2012),R,165min,"Drama,Western","$100,000,000","$30,122,888","$162,805,434","$425,368,238",Release Date: 27 February 2013 (Taiwan),0,"2,650,000","667,689","181,343","410,216","262,562,804",25 Dec 2012,"Drama, Western",Quentin Tarantino,Quentin Tarantino,"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Kerry Washington","English, German, French, Italian",Won 2 Oscars. Another 56 wins & 151 nominations.,USA,The Weinstein Co.,"1,203,661",0.84,0.86,0.81
tt1345836,The Dark Knight Rises,(2012),PG-13,164min,"Action,Thriller","$250,000,000","$160,887,295","$448,139,099","$1,084,939,099",Release Date: 19 July 2012 (Taiwan),0,"52,785,334","10,346,437","5,759,366","7,023,329","636,800,000",20 Jul 2012,"Action, Thriller",Christopher Nolan,"Jonathan Nolan (screenplay), Christopher Nolan (screenplay), Christopher Nolan (story), David S. Goyer (story), Bob Kane (characters)","Christian Bale, Gary Oldman, Tom Hardy, Joseph Gordon-Levitt","English, Arabic",Nominated for 1 BAFTA Film Award. Another 38 wins & 102 nominations.,"UK, USA",Warner Bros. Pictures,"1,380,453",0.84,0.87,0.78
tt1409024,Men in Black 3,(2012),PG-13,106min,"Action,Adventure,Comedy","$225,000,000","$54,592,779","$179,020,854","$624,026,776",Release Date: 23 May 2012 (Taiwan),0,"77,246,700","6,118,778","5,110,670","4,231,573","445,005,922",25 May 2012,"Action, Adventure, Comedy, Sci-Fi",Barry Sonnenfeld,"Etan Cohen, Lowell Cunningham (based on the Malibu comic by)","Will Smith, Tommy Lee Jones, Josh Brolin, Jemaine Clement","English, Ukrainian",1 win & 13 nominations.,"USA, United Arab Emirates",Sony Pictures,"308,592",0.68,0.68,0.58
tt1392170,The Hunger Games,(2012),PG-13,142min,"Action,Adventure,Sci-Fi","$78,000,000","$152,535,747","$408,010,692","$694,394,724",Release Date: 23 March 2012 (Taiwan),0,"27,049,819","2,628,593","2,201,209","3,729,893","286,384,032",23 Mar 2012,"Action, Adventure, Sci-Fi, Thriller",Gary Ross,"Gary Ross (screenplay), Suzanne Collins (screenplay), Billy Ray (screenplay), Suzanne Collins (novel)","Stanley Tucci, Wes Bentley, Jennifer Lawrence, Willow Shields",English,Nominated for 1 Golden Globe. Another 33 wins & 47 nominations.,USA,Lionsgate,"791,962",0.72,0.84,0.68
tt1991245,Chernobyl Diaries,(2012),R,86min,"Horror,Mystery,Thriller","$1,000,000","$7,955,307","$18,119,640","$37,157,648",Release Date: 23 November 2012 (Taiwan),0,0,"128,472","133,229","137,103","19,038,008",25 May 2012,"Horror, Mystery, Thriller",Bradley Parker,"Oren Peli (screenplay), Carey Van Dyke (screenplay), Shane Van Dyke (screenplay), Oren Peli (story)","Ingrid Bolsø Berdal, Dimitri Diatchenko, Olivia Taylor Dudley, Devin Kelley","English, Ukrainian, Russian",1 nomination.,USA,Warner Bros. Pictures,"59,489",0.5,0.19,
tt1707386,Les Misérables,(2012),PG-13,158min,"Drama,History,Musical","$61,000,000","$27,281,735","$148,809,770","$441,809,770",Release Date: 8 February 2013 (Taiwan),0,"9,900,000","5,261,557","701,315","2,243,247","293,000,000",25 Dec 2012,"Drama, History, Musical, Romance, War",Tom Hooper,"William Nicholson (screenplay by), Alain Boublil (screenplay by), Claude-Michel Schönberg (screenplay by), Herbert Kretzmer (screenplay by), Alain Boublil (based on the original stage musical ""Les Misérables""), Claude-Michel Schönberg (based on the original stage musical ""Les Misérables""), Victor Hugo (based on the novel by)","Hugh Jackman, Russell Crowe, Anne Hathaway, Amanda Seyfried",English,Won 3 Oscars. Another 81 wins & 172 nominations.,"UK, USA",Universal Pictures,"285,352",0.76,0.69,0.63
tt1673434,The Twilight Saga: Breaking Dawn - Part 2,(2012),PG-13,115min,"Adventure,Drama,Fantasy","$120,000,000","$141,067,634","$292,324,737","$829,746,820",Release Date: 16 November 2012 (Taiwan),0,0,"2,603,490","4,387,529","3,184,396","537,422,083",16 Nov 2012,"Adventure, Drama, Fantasy, Romance",Bill Condon,"Melissa Rosenberg (screenplay), Stephenie Meyer (novel)","Kristen Stewart, Robert Pattinson, Taylor Lautner, Peter Facinelli",English,21 wins & 14 nominations.,USA,Lionsgate/Summit Entertainment,"214,318",0.55,0.49,0.52
tt1232829,21 Jump Street,(2012),R,109min,"Action,Comedy,Crime","$42,000,000","$36,302,612","$138,447,667","$201,585,328",Release Date: 16 March 2012 (USA),0,0,0,0,"465,730","63,137,661",16 Mar 2012,"Action, Comedy, Crime","Phil Lord, Christopher Miller","Michael Bacall (screenplay), Michael Bacall (story), Jonah Hill (story), Patrick Hasburgh (television series), Stephen J. Cannell (television series)","Jonah Hill, Channing Tatum, Brie Larson, Dave Franco",English,11 wins & 20 nominations.,USA,Sony Pictures,"475,864",0.72,0.84,0.69
